Scientific_name	Accession
Abraxas_sylvata	GCA_964187985.1
Abrostola_tripartita	GCA_905340225.1
Abrostola_triplasia	GCA_946251915.1
Acentria_ephemerella	GCA_943193645.1
Achlya_flavicornis	GCA_947623365.1
Acleris_cristana	GCA_948252455.1
Acleris_emargana	GCA_927399475.1
Acleris_laterana	GCA_963966035.1
Acleris_literana	GCA_946894065.1
Acleris_sparsana	GCA_923062465.1
Acrobasis_consociella	GCA_963555685.1
Acrobasis_suavella	GCA_943193695.1
Acronicta_aceris	GCA_910591435.1
Acronicta_leporina	GCA_947256265.1
Acronicta_psi	GCA_946251955.1
Agonopterix_subpropinquella	GCA_922987775.1
Agriopis_aurantiaria	GCA_914767915.1
Agriopis_leucophaearia	GCA_949125355.1
Agriopis_marginaria	GCA_932305915.1
Agriphila_geniculea	GCA_927399405.1
Agriphila_inquinatella	GCA_964059425.1
Agriphila_straminella	GCA_950108535.1
Agriphila_tristella	GCA_928269145.1
Agrochola_circellaris	GCA_914767755.1
Agrochola_litura	GCA_949152395.1
Agrochola_lota	GCA_947364205.1
Agrochola_macilenta	GCA_916701695.1
Agrotis_clavis	GCA_954870645.1
Agrotis_exclamationis	GCA_950005045.1
Agrotis_puta	GCA_943136025.1
Alcis_repandata	GCA_949125135.1
Allophyes_oxyacanthae	GCA_932294325.1
Alsophila_aescularia	GCA_946251855.1
Alucita_hexadactyla	GCA_964059475.1
Amorpha_juglandis	GCA_949126905.1
Amphipoea_lucens	GCA_947508005.1
Amphipoea_oculea	GCA_945859645.1
Amphipyra_berbera	GCA_910594945.2
Amphipyra_tragopoginis	GCA_905220435.1
Anania_crocealis	GCA_949315895.1
Anania_fuscalis	GCA_950371115.1
Anarsia_innoxiella	GCA_947563765.1
Anorthoa_munda	GCA_945859665.1
Anthocharis_cardamines	GCA_905404175.1
Anticlea_derivata	GCA_947579855.1
Antitype_chi	GCA_947359405.1
Apamea_anceps	GCA_951799955.1
Apamea_crenata	GCA_949629185.1
Apamea_epomidion	GCA_947507525.1
Apamea_monoglypha	GCA_911387795.2
Apamea_sordens	GCA_945859715.1
Apeira_syringaria	GCA_934044485.1
Aplocera_efformata	GCA_921293045.1
Apocheima_hispidaria	GCA_947579745.1
Apoda_limacodes	GCA_946406115.1
Apomyelois_bistriatella	GCA_947044815.1
Aporia_crataegi	GCA_912999735.1
Aporophyla_lueneburgensis	GCA_932294355.1
Aporophyla_nigra	GCA_947507805.1
Apotomis_betuletana	GCA_932273695.1
Apotomis_capreana	GCA_947623375.1
Apotomis_turbidana	GCA_905147355.2
Aproaerema_taeniolella	GCA_949987775.1
Archips_crataeganus	GCA_947859365.1
Archips_xylosteana	GCA_947563465.1
Argyresthia_goedartella	GCA_949825045.1
Aricia_agestis	GCA_905147365.1
Aricia_artaxerxes	GCA_937612035.1
Asteroscopus_sphinx	GCA_949699085.1
Atethmia_centrago	GCA_905333075.3
Athrips_mouffetella	GCA_947532105.1
Autographa_gamma	GCA_905146925.1
Autographa_pulchrina	GCA_905475315.1
Bembecia_ichneumoniformis	GCA_910589475.1
Bicyclus_anynana	GCA_947172395.1
Biston_betularia	GCA_905404145.1
Biston_stratarius	GCA_950106695.1
Blastobasis_adustella	GCA_907269095.1
Blastobasis_lacticolella	GCA_905147135.1
Boloria_euphrosyne	GCA_951802675.2
Boloria_selene	GCA_905231865.2
Brachylomia_viminalis	GCA_937001585.2
Brenthis_ino	GCA_921882275.1
Cabera_pusaria	GCA_954871355.1
Calamotropha_paludella	GCA_927399485.1
Callimorpha_dominula	GCA_949752705.1
Campaea_margaritaria	GCA_912999815.1
Camptogramma_bilineatum	GCA_958496255.1
Caradrina_clavipalpis	GCA_932526535.1
Caradrina_kadenii	GCA_947462355.1
Carcina_quercana	GCA_910589575.1
Carpatolechia_fugitivella	GCA_951230895.1
Carposina_sasakii	GCA_014607495.2
Carterocephalus_palaemon	GCA_944567765.1
Cataclysta_lemnata	GCA_963931975.1
Catocala_fraxini	GCA_930367265.1
Catocala_nupta	GCA_963675205.1
Celastrina_argiolus	GCA_905187575.2
Ceramica_pisi	GCA_963859965.1
Cerastis_leucographa	GCA_963082945.1
Cerastis_rubricosa	GCA_949152445.1
Charanyca_ferruginea	GCA_947361185.1
Chesias_legatella	GCA_947359385.1
Chilo_suppressalis	GCA_902850365.1
Chloroclysta_siterata	GCA_932294275.1
Choreutis_nemorana	GCA_949316135.1
Chrysodeixis_includens	GCA_903961255.1
Chrysoteuchia_culmella	GCA_910589605.1
Clostera_curtula	GCA_905475355.2
Cnaphalocrocis_medinalis	GCA_014851415.1
Coenonympha_glycerion	GCA_963855885.1
Coleophora_deauratella	GCA_958295455.1
Colias_croceus	GCA_905220415.1
