sample	cluster	total_counts	detected_genes
SRR1062598	0	804880	17001
SRR1062614	0	804273	16844
SRR1062585	0	801834	16931
SRR1062621	0	801678	16882
SRR1062638	0	801503	16992
SRR1062596	0	800971	16885
SRR1062601	0	800386	16981
SRR1062627	0	799474	17000
SRR1062581	0	799074	16900
SRR1062634	0	799019	16919
SRR1062578	0	798725	16815
SRR1062608	0	798700	16820
SRR1062593	0	798140	16863
SRR1062624	0	797519	16872
SRR1062631	0	796501	16936
SRR1062612	0	796111	16906
SRR1062625	0	795951	16816
SRR1062587	0	794868	16846
SRR1062565	0	794599	16854
SRR1062618	0	794591	16801
SRR1062595	0	794495	16787
SRR1062558	0	794061	16917
SRR1062589	0	793817	16980
SRR1062557	0	793815	16897
SRR1062564	0	793184	16840
SRR1062579	0	792912	16821
SRR1062616	0	792617	16960
SRR1062594	0	792586	16788
SRR1062611	0	792462	16847
SRR1062580	0	791258	16881
SRR1062613	0	791044	16783
SRR1062563	0	791018	16807
SRR1062577	0	790123	16872
SRR1062620	0	790104	16915
SRR1062636	0	789989	16863
SRR1062633	0	789980	16985
SRR1062604	0	789930	16941
SRR1062619	0	789165	16840
SRR1062590	0	788776	16799
SRR1062628	0	788705	16800
SRR1062574	0	788201	16891
SRR1062559	0	788168	16786
SRR1062582	0	788136	16820
SRR1062573	0	788114	16824
SRR1062568	0	787981	17082
SRR1062605	0	787442	16882
SRR1062556	0	786135	16769
SRR1062569	0	785110	16767
SRR1062304	0	784860	16704
SRR1062617	0	784763	16754
SRR1062584	0	784223	16742
SRR1062306	0	783767	16809
SRR1062576	0	783662	16730
SRR1062615	0	783446	16711
SRR1062555	0	782654	16714
SRR1062630	0	782472	16756
SRR1062602	0	781823	16797
SRR1062607	0	781769	16681
SRR1062310	0	781647	16722
SRR1062308	0	781290	16793
SRR1062571	0	779877	16835
SRR1062303	0	778975	16689
SRR1062305	0	776057	16771
SRR1062307	0	773387	16765
SRR1062309	0	771493	16851
SRR1062637	0	718714	16779
SRR1062591	0	654629	16412
SRR1062570	0	642313	16968
SRR1062583	0	639998	16906
SRR1062629	0	639963	16894
SRR1062635	0	636297	16958
SRR1062566	0	632024	16799
SRR1062562	0	630029	16768
SRR1062572	0	629091	16812
SRR1062603	0	628102	16777
SRR1062599	0	627439	16832
SRR1062626	0	625830	16812
SRR1062606	0	625027	16360
SRR1062588	0	620316	16764
SRR1062586	0	618898	16783
SRR1062597	0	617550	16802
SRR1062609	0	617130	16721
SRR1062567	0	617129	16797
SRR1062610	0	614248	16706
SRR1062632	0	611329	16630
SRR1062600	0	611034	16659
SRR1062592	0	609196	16646
SRR1062561	0	608886	16664
SRR1062623	0	606722	16722
SRR1062560	0	584466	15974
SRR1062622	0	566339	15967
SRR1062575	0	472311	15532
SRR1062295	1	872279	17204
SRR1062301	1	871863	17329
SRR1062294	1	871546	16955
SRR1062297	1	871184	17229
SRR1062299	1	869512	17255
SRR1062296	1	867702	17133
SRR1062298	1	862784	17217
SRR1062300	1	862624	17211
SRR1062452	1	784651	15896
SRR1062440	1	784154	15980
SRR1062397	1	783712	15965
SRR1062407	1	783660	15818
SRR1062420	1	779524	15919
SRR1062428	1	779157	15837
SRR1062402	1	777892	15815
SRR1062403	1	777612	15860
SRR1062454	1	777267	15919
SRR1062418	1	777088	15842
SRR1062421	1	776712	15809
SRR1062453	1	776542	15852
SRR1062427	1	776326	15890
SRR1062446	1	776162	15888
SRR1062437	1	775807	15888
SRR1062445	1	775082	15861
SRR1062444	1	774546	15939
SRR1062405	1	774221	15905
SRR1062412	1	773881	15925
SRR1062447	1	773831	15885
SRR1062401	1	773671	15765
SRR1062430	1	773512	15882
SRR1062411	1	773048	15922
SRR1062419	1	773038	15858
SRR1062423	1	772878	15890
SRR1062436	1	772684	15838
SRR1062426	1	772213	15922
SRR1062451	1	772019	15864
SRR1062435	1	771788	15741
SRR1062449	1	771232	15868
SRR1062409	1	770983	15796
SRR1062417	1	770686	15830
SRR1062422	1	770587	15810
SRR1062396	1	770469	15791
SRR1062400	1	770232	15840
SRR1062410	1	769947	15726
SRR1062404	1	769743	15689
SRR1062416	1	769710	15826
SRR1062408	1	769348	15734
SRR1062448	1	769158	15893
SRR1062439	1	768945	15850
SRR1062438	1	768578	15919
SRR1062413	1	768270	15788
SRR1062414	1	768122	15843
SRR1062425	1	767966	15770
SRR1062399	1	767742	15779
SRR1062443	1	767388	15757
SRR1062441	1	767367	15904
SRR1062434	1	766266	15794
SRR1062432	1	766090	15808
SRR1062431	1	765371	15914
SRR1062286	1	765106	15809
SRR1062429	1	764460	15927
SRR1062288	1	763122	15759
SRR1062292	1	761892	15787
SRR1062290	1	759100	15732
