sample_id,experiment_id,study_id,sequencing_type,cell_type,treatment,timepoint,replicate,organism,platform,library_strategy,library_source,total_reads,total_bases,cap_selection_method,file_size,fractionation_method,instrument,translation_inhibitor
SRR35035588,SRX30151499,1308098,Ribo-seq,unknown,unknown,unknown,unknown,Bombyx mori,,Ribo-seq,TRANSCRIPTOMIC,93994254,28198276200,,10304752798,unknown,Illumina HiSeq 2500,unknown
SRR35035589,SRX30151498,1308098,Ribo-seq,unknown,unknown,unknown,unknown,Bombyx mori,,Ribo-seq,TRANSCRIPTOMIC,107593991,32278197300,,11782725957,unknown,Illumina HiSeq 2500,unknown
SRR35035588,SRX30151499,1308098,Ribo-seq,unknown,unknown,unknown,unknown,Bombyx mori,,Ribo-seq,TRANSCRIPTOMIC,93994254,28198276200,,10304752798,unknown,Illumina HiSeq 2500,unknown
SRR35035589,SRX30151498,1308098,Ribo-seq,unknown,unknown,unknown,unknown,Bombyx mori,,Ribo-seq,TRANSCRIPTOMIC,107593991,32278197300,,11782725957,unknown,Illumina HiSeq 2500,unknown
ERR15338313,ERX14741934,1297545,Ribo-seq,unknown,unknown,unknown,unknown,Arabidopsis thaliana,,Ribo-seq,TRANSCRIPTOMIC,4301135,89489953,,49986628,unknown,NextSeq 500,unknown
ERR15338317,ERX14741938,1297545,Ribo-seq,unknown,unknown,unknown,unknown,Arabidopsis thaliana,,Ribo-seq,TRANSCRIPTOMIC,3759763,87377219,,48130551,unknown,NextSeq 500,unknown
ERR15338323,ERX14741944,1297545,Ribo-seq,unknown,unknown,unknown,unknown,Arabidopsis thaliana,,Ribo-seq,TRANSCRIPTOMIC,4561352,100902094,,54783148,unknown,NextSeq 500,unknown
ERR15338328,ERX14741949,1297545,Ribo-seq,unknown,unknown,unknown,unknown,Arabidopsis thaliana,,Ribo-seq,TRANSCRIPTOMIC,5665109,145604466,,80331627,unknown,NextSeq 500,unknown
ERR15338316,ERX14741937,1297545,Ribo-seq,unknown,unknown,unknown,unknown,Arabidopsis thaliana,,Ribo-seq,TRANSCRIPTOMIC,7024849,187331096,,104931062,unknown,NextSeq 500,unknown
ERR15338325,ERX14741946,1297545,Ribo-seq,unknown,unknown,unknown,unknown,Arabidopsis thaliana,,Ribo-seq,TRANSCRIPTOMIC,3965454,98060244,,52915437,unknown,NextSeq 500,unknown
ERR15338322,ERX14741943,1297545,Ribo-seq,unknown,unknown,unknown,unknown,Arabidopsis thaliana,,Ribo-seq,TRANSCRIPTOMIC,5370136,133231332,,76208562,unknown,NextSeq 500,unknown
ERR15338331,ERX14741952,1297545,Ribo-seq,unknown,unknown,unknown,unknown,Arabidopsis thaliana,,Ribo-seq,TRANSCRIPTOMIC,3320934,78972213,,32109140,unknown,NextSeq 500,unknown
ERR15338320,ERX14741941,1297545,Ribo-seq,unknown,unknown,unknown,unknown,Arabidopsis thaliana,,Ribo-seq,TRANSCRIPTOMIC,4836190,115184554,,61696450,unknown,NextSeq 500,unknown
ERR15338332,ERX14741953,1297545,Ribo-seq,unknown,unknown,unknown,unknown,Arabidopsis thaliana,,Ribo-seq,TRANSCRIPTOMIC,3082933,73683016,,32738719,unknown,NextSeq 500,unknown
ERR15338315,ERX14741936,1297545,Ribo-seq,unknown,unknown,unknown,unknown,Arabidopsis thaliana,,Ribo-seq,TRANSCRIPTOMIC,5373826,141626916,,76163242,unknown,NextSeq 500,unknown
ERR15338318,ERX14741939,1297545,Ribo-seq,unknown,unknown,unknown,unknown,Arabidopsis thaliana,,Ribo-seq,TRANSCRIPTOMIC,4757609,121686009,,66962452,unknown,NextSeq 500,unknown
ERR15338329,ERX14741950,1297545,Ribo-seq,unknown,unknown,unknown,unknown,Arabidopsis thaliana,,Ribo-seq,TRANSCRIPTOMIC,4078244,103475106,,58237756,unknown,NextSeq 500,unknown
ERR15338327,ERX14741948,1297545,Ribo-seq,unknown,unknown,unknown,unknown,Arabidopsis thaliana,,Ribo-seq,TRANSCRIPTOMIC,4802416,112157249,,61889838,unknown,NextSeq 500,unknown
ERR15338326,ERX14741947,1297545,Ribo-seq,unknown,unknown,unknown,unknown,Arabidopsis thaliana,,Ribo-seq,TRANSCRIPTOMIC,5197735,142216065,,77840561,unknown,NextSeq 500,unknown
ERR15338312,ERX14741933,1297545,Ribo-seq,unknown,unknown,unknown,unknown,Arabidopsis thaliana,,Ribo-seq,TRANSCRIPTOMIC,4199883,115488493,,61357588,unknown,NextSeq 500,unknown
ERR15338333,ERX14741954,1297545,Ribo-seq,unknown,unknown,unknown,unknown,Arabidopsis thaliana,,Ribo-seq,TRANSCRIPTOMIC,3205543,77055409,,34221878,unknown,NextSeq 500,unknown
ERR15338314,ERX14741935,1297545,Ribo-seq,unknown,unknown,unknown,unknown,Arabidopsis thaliana,,Ribo-seq,TRANSCRIPTOMIC,4726039,121567048,,65243998,unknown,NextSeq 500,unknown
ERR15338319,ERX14741940,1297545,Ribo-seq,unknown,unknown,unknown,unknown,Arabidopsis thaliana,,Ribo-seq,TRANSCRIPTOMIC,4765508,127038224,,68893818,unknown,NextSeq 500,unknown
ERR15338321,ERX14741942,1297545,Ribo-seq,unknown,unknown,unknown,unknown,Arabidopsis thaliana,,Ribo-seq,TRANSCRIPTOMIC,5106191,120450985,,65761483,unknown,NextSeq 500,unknown
ERR15338330,ERX14741951,1297545,Ribo-seq,unknown,unknown,unknown,unknown,Arabidopsis thaliana,,Ribo-seq,TRANSCRIPTOMIC,3157861,75042700,,30664078,unknown,NextSeq 500,unknown
ERR15338324,ERX14741945,1297545,Ribo-seq,unknown,unknown,unknown,unknown,Arabidopsis thaliana,,Ribo-seq,TRANSCRIPTOMIC,4783235,129517271,,70963463,unknown,NextSeq 500,unknown
ERR15338313,ERX14741934,1297545,Ribo-seq,unknown,unknown,unknown,unknown,Arabidopsis thaliana,,Ribo-seq,TRANSCRIPTOMIC,4301135,89489953,,49986628,unknown,NextSeq 500,unknown
ERR15338317,ERX14741938,1297545,Ribo-seq,unknown,unknown,unknown,unknown,Arabidopsis thaliana,,Ribo-seq,TRANSCRIPTOMIC,3759763,87377219,,48130551,unknown,NextSeq 500,unknown
ERR15338323,ERX14741944,1297545,Ribo-seq,unknown,unknown,unknown,unknown,Arabidopsis thaliana,,Ribo-seq,TRANSCRIPTOMIC,4561352,100902094,,54783148,unknown,NextSeq 500,unknown
ERR15338328,ERX14741949,1297545,Ribo-seq,unknown,unknown,unknown,unknown,Arabidopsis thaliana,,Ribo-seq,TRANSCRIPTOMIC,5665109,145604466,,80331627,unknown,NextSeq 500,unknown
ERR15338316,ERX14741937,1297545,Ribo-seq,unknown,unknown,unknown,unknown,Arabidopsis thaliana,,Ribo-seq,TRANSCRIPTOMIC,7024849,187331096,,104931062,unknown,NextSeq 500,unknown
ERR15338325,ERX14741946,1297545,Ribo-seq,unknown,unknown,unknown,unknown,Arabidopsis thaliana,,Ribo-seq,TRANSCRIPTOMIC,3965454,98060244,,52915437,unknown,NextSeq 500,unknown
ERR15338322,ERX14741943,1297545,Ribo-seq,unknown,unknown,unknown,unknown,Arabidopsis thaliana,,Ribo-seq,TRANSCRIPTOMIC,5370136,133231332,,76208562,unknown,NextSeq 500,unknown
ERR15338331,ERX14741952,1297545,Ribo-seq,unknown,unknown,unknown,unknown,Arabidopsis thaliana,,Ribo-seq,TRANSCRIPTOMIC,3320934,78972213,,32109140,unknown,NextSeq 500,unknown
ERR15338320,ERX14741941,1297545,Ribo-seq,unknown,unknown,unknown,unknown,Arabidopsis thaliana,,Ribo-seq,TRANSCRIPTOMIC,4836190,115184554,,61696450,unknown,NextSeq 500,unknown
ERR15338332,ERX14741953,1297545,Ribo-seq,unknown,unknown,unknown,unknown,Arabidopsis thaliana,,Ribo-seq,TRANSCRIPTOMIC,3082933,73683016,,32738719,unknown,NextSeq 500,unknown
ERR15338315,ERX14741936,1297545,Ribo-seq,unknown,unknown,unknown,unknown,Arabidopsis thaliana,,Ribo-seq,TRANSCRIPTOMIC,5373826,141626916,,76163242,unknown,NextSeq 500,unknown
ERR15338318,ERX14741939,1297545,Ribo-seq,unknown,unknown,unknown,unknown,Arabidopsis thaliana,,Ribo-seq,TRANSCRIPTOMIC,4757609,121686009,,66962452,unknown,NextSeq 500,unknown
ERR15338329,ERX14741950,1297545,Ribo-seq,unknown,unknown,unknown,unknown,Arabidopsis thaliana,,Ribo-seq,TRANSCRIPTOMIC,4078244,103475106,,58237756,unknown,NextSeq 500,unknown
ERR15338327,ERX14741948,1297545,Ribo-seq,unknown,unknown,unknown,unknown,Arabidopsis thaliana,,Ribo-seq,TRANSCRIPTOMIC,4802416,112157249,,61889838,unknown,NextSeq 500,unknown
ERR15338326,ERX14741947,1297545,Ribo-seq,unknown,unknown,unknown,unknown,Arabidopsis thaliana,,Ribo-seq,TRANSCRIPTOMIC,5197735,142216065,,77840561,unknown,NextSeq 500,unknown
ERR15338312,ERX14741933,1297545,Ribo-seq,unknown,unknown,unknown,unknown,Arabidopsis thaliana,,Ribo-seq,TRANSCRIPTOMIC,4199883,115488493,,61357588,unknown,NextSeq 500,unknown
ERR15338333,ERX14741954,1297545,Ribo-seq,unknown,unknown,unknown,unknown,Arabidopsis thaliana,,Ribo-seq,TRANSCRIPTOMIC,3205543,77055409,,34221878,unknown,NextSeq 500,unknown
ERR15338314,ERX14741935,1297545,Ribo-seq,unknown,unknown,unknown,unknown,Arabidopsis thaliana,,Ribo-seq,TRANSCRIPTOMIC,4726039,121567048,,65243998,unknown,NextSeq 500,unknown
ERR15338319,ERX14741940,1297545,Ribo-seq,unknown,unknown,unknown,unknown,Arabidopsis thaliana,,Ribo-seq,TRANSCRIPTOMIC,4765508,127038224,,68893818,unknown,NextSeq 500,unknown
ERR15338321,ERX14741942,1297545,Ribo-seq,unknown,unknown,unknown,unknown,Arabidopsis thaliana,,Ribo-seq,TRANSCRIPTOMIC,5106191,120450985,,65761483,unknown,NextSeq 500,unknown
ERR15338330,ERX14741951,1297545,Ribo-seq,unknown,unknown,unknown,unknown,Arabidopsis thaliana,,Ribo-seq,TRANSCRIPTOMIC,3157861,75042700,,30664078,unknown,NextSeq 500,unknown
ERR15338324,ERX14741945,1297545,Ribo-seq,unknown,unknown,unknown,unknown,Arabidopsis thaliana,,Ribo-seq,TRANSCRIPTOMIC,4783235,129517271,,70963463,unknown,NextSeq 500,unknown
SRR1840523,SRX902558,1296756,RNA-seq,BmN cells,unknown,unknown,2,Mus musculus,,RNA-Seq,TRANSCRIPTOMIC,10614457,2674843164,,1343439363,,Illumina HiSeq 1500,
SRR34732503,SRX29866872,1296756,Ribo-seq,BmN cells,unknown,unknown,unknown,Bombyx mori,,Ribo-seq,TRANSCRIPTOMIC,108273950,32482185000,,11444800992,unknown,Illumina HiSeq 2000,unknown
SRR34732504,SRX29866871,1296756,Ribo-seq,BmN cells,unknown,unknown,unknown,Bombyx mori,,Ribo-seq,TRANSCRIPTOMIC,124001125,37200337500,,13412581902,unknown,Illumina HiSeq 2000,unknown
SRR34732505,SRX29866870,1296756,Ribo-seq,BmN cells,unknown,unknown,unknown,Bombyx mori,,Ribo-seq,TRANSCRIPTOMIC,138507197,41552159100,,14846843702,unknown,Illumina HiSeq 2000,unknown
SRR34732506,SRX29866869,1296756,Ribo-seq,BmN cells,unknown,unknown,unknown,Bombyx mori,,Ribo-seq,TRANSCRIPTOMIC,142002312,42600693600,,15057687564,unknown,Illumina HiSeq 2000,unknown
SRR34732507,SRX29866868,1296756,Ribo-seq,BmN cells,unknown,unknown,unknown,Bombyx mori,,Ribo-seq,TRANSCRIPTOMIC,126200755,37860226500,,13565362590,unknown,Illumina HiSeq 2000,unknown
SRR34732508,SRX29866867,1296756,Ribo-seq,BmN cells,unknown,unknown,unknown,Bombyx mori,,Ribo-seq,TRANSCRIPTOMIC,99270526,29781157800,,10678376072,unknown,Illumina HiSeq 2000,unknown
SRR34732503,SRX29866872,1296756,Ribo-seq,BmN cells,unknown,unknown,unknown,Bombyx mori,,Ribo-seq,TRANSCRIPTOMIC,108273950,32482185000,,11444800992,unknown,Illumina HiSeq 2000,unknown
SRR34732504,SRX29866871,1296756,Ribo-seq,BmN cells,unknown,unknown,unknown,Bombyx mori,,Ribo-seq,TRANSCRIPTOMIC,124001125,37200337500,,13412581902,unknown,Illumina HiSeq 2000,unknown
SRR34732505,SRX29866870,1296756,Ribo-seq,BmN cells,unknown,unknown,unknown,Bombyx mori,,Ribo-seq,TRANSCRIPTOMIC,138507197,41552159100,,14846843702,unknown,Illumina HiSeq 2000,unknown
SRR34732506,SRX29866869,1296756,Ribo-seq,BmN cells,unknown,unknown,unknown,Bombyx mori,,Ribo-seq,TRANSCRIPTOMIC,142002312,42600693600,,15057687564,unknown,Illumina HiSeq 2000,unknown
SRR34732507,SRX29866868,1296756,Ribo-seq,BmN cells,unknown,unknown,unknown,Bombyx mori,,Ribo-seq,TRANSCRIPTOMIC,126200755,37860226500,,13565362590,unknown,Illumina HiSeq 2000,unknown
SRR34732508,SRX29866867,1296756,Ribo-seq,BmN cells,unknown,unknown,unknown,Bombyx mori,,Ribo-seq,TRANSCRIPTOMIC,99270526,29781157800,,10678376072,unknown,Illumina HiSeq 2000,unknown
SRR34700245,SRX29835578,1295776,RNA-seq,fungal cell,"thiolutin,nc,wt,60-3",unknown,unknown,Neurospora crassa,,OTHER,TRANSCRIPTOMIC,27029838,5405967600,,2129432089,,Illumina HiSeq 2000,
SRR34700246,SRX29835577,1295776,RNA-seq,fungal cell,"thiolutin,nc,wt,60-2",unknown,unknown,Neurospora crassa,,OTHER,TRANSCRIPTOMIC,27532287,5506457400,,2180391826,,Illumina HiSeq 2000,
SRR34700247,SRX29835576,1295776,RNA-seq,fungal cell,"thiolutin,nc,wt,60-1",unknown,unknown,Neurospora crassa,,OTHER,TRANSCRIPTOMIC,24666682,4933336400,,1954984050,,Illumina HiSeq 2000,
SRR34700248,SRX29835575,1295776,RNA-seq,fungal cell,"thiolutin,nc,wt,40-3",unknown,unknown,Neurospora crassa,,OTHER,TRANSCRIPTOMIC,26194582,5238916400,,2075328515,,Illumina HiSeq 2000,
SRR34700249,SRX29835574,1295776,RNA-seq,fungal cell,"thiolutin,nc,wt,40-2",unknown,unknown,Neurospora crassa,,OTHER,TRANSCRIPTOMIC,26739158,5347831600,,2113587220,,Illumina HiSeq 2000,
SRR34700250,SRX29835573,1295776,RNA-seq,fungal cell,"thiolutin,nc,wt,40-1",unknown,unknown,Neurospora crassa,,OTHER,TRANSCRIPTOMIC,30043783,6008756600,,2361992420,,Illumina HiSeq 2000,
SRR34700251,SRX29835572,1295776,RNA-seq,fungal cell,"thiolutin,nc,wt,20-3",unknown,unknown,Neurospora crassa,,OTHER,TRANSCRIPTOMIC,22544160,4508832000,,1776910217,,Illumina HiSeq 2000,
SRR34700252,SRX29835571,1295776,RNA-seq,fungal cell,"thiolutin,nc,wt,20-2",unknown,unknown,Neurospora crassa,,OTHER,TRANSCRIPTOMIC,20629958,4125991600,,1623153672,,Illumina HiSeq 2000,
SRR34700253,SRX29835570,1295776,RNA-seq,fungal cell,"thiolutin,nc,wt,20-1",unknown,unknown,Neurospora crassa,,OTHER,TRANSCRIPTOMIC,25920819,5184163800,,2046979741,,Illumina HiSeq 2000,
SRR34700254,SRX29835569,1295776,RNA-seq,fungal cell,"thiolutin,nc,wt,10-3",unknown,unknown,Neurospora crassa,,OTHER,TRANSCRIPTOMIC,19955285,3991057000,,1586767259,,Illumina HiSeq 2000,
SRR34700255,SRX29835568,1295776,RNA-seq,fungal cell,"thiolutin,nc,wt,10-2",unknown,unknown,Neurospora crassa,,OTHER,TRANSCRIPTOMIC,22583177,4516635400,,1781634938,,Illumina HiSeq 2000,
SRR34700256,SRX29835567,1295776,RNA-seq,fungal cell,"thiolutin,nc,wt,10-1",unknown,unknown,Neurospora crassa,,OTHER,TRANSCRIPTOMIC,24738117,4947623400,,1962278690,,Illumina HiSeq 2000,
SRR34700257,SRX29835566,1295776,RNA-seq,fungal cell,"thiolutin,nc,wt,0-3",unknown,unknown,Neurospora crassa,,OTHER,TRANSCRIPTOMIC,26693675,5338735000,,2104153848,,Illumina HiSeq 2000,
SRR34700258,SRX29835565,1295776,RNA-seq,fungal cell,"thiolutin,nc,wt,0-2",unknown,unknown,Neurospora crassa,,OTHER,TRANSCRIPTOMIC,26661147,5332229400,,2105686355,,Illumina HiSeq 2000,
SRR34700259,SRX29835564,1295776,RNA-seq,fungal cell,"thiolutin,nc,wt,0-1",unknown,unknown,Neurospora crassa,,OTHER,TRANSCRIPTOMIC,30127715,6025543000,,2350397068,,Illumina HiSeq 2000,
SRR34700260,SRX29835563,1295776,RNA-seq,Cancer cell,"Ribo,hct116,erf1,3",unknown,unknown,Homo sapiens,,OTHER,TRANSCRIPTOMIC,21369545,6410863500,,2553987168,,Illumina HiSeq 2000,
SRR34700261,SRX29835562,1295776,RNA-seq,Cancer cell,"Ribo,hct116,erf1,2",unknown,unknown,Homo sapiens,,OTHER,TRANSCRIPTOMIC,30841776,9252532800,,3680103433,,Illumina HiSeq 2000,
SRR34700262,SRX29835561,1295776,RNA-seq,Cancer cell,"Ribo,hct116,erf1,1",unknown,unknown,Homo sapiens,,OTHER,TRANSCRIPTOMIC,24977840,7493352000,,2976659712,,Illumina HiSeq 2000,
SRR34700263,SRX29835560,1295776,RNA-seq,Cancer cell,"Ribo,hct116,wt,3",unknown,unknown,Homo sapiens,,OTHER,TRANSCRIPTOMIC,36109981,10832994300,,4308152715,,Illumina HiSeq 2000,
SRR34700264,SRX29835559,1295776,RNA-seq,Cancer cell,"Ribo,hct116,wt,2",unknown,unknown,Homo sapiens,,OTHER,TRANSCRIPTOMIC,34198552,10259565600,,4084988055,,Illumina HiSeq 2000,
SRR34700265,SRX29835558,1295776,RNA-seq,Cancer cell,"Ribo,hct116,wt,1",unknown,unknown,Homo sapiens,,OTHER,TRANSCRIPTOMIC,29338209,8801462700,,3516258375,,Illumina HiSeq 2000,
SRR34700266,SRX29835557,1295776,RNA-seq,Cancer cell,"HCT116,WT,6-2",unknown,unknown,Homo sapiens,,OTHER,TRANSCRIPTOMIC,7614830,2284449000,,766036321,,Illumina HiSeq 2000,
SRR34700267,SRX29835556,1295776,RNA-seq,Cancer cell,"HCT116,WT,6-1",unknown,unknown,Homo sapiens,,OTHER,TRANSCRIPTOMIC,10280355,3084106500,,1007258592,,Illumina HiSeq 2000,
SRR34700268,SRX29835555,1295776,RNA-seq,Cancer cell,"HCT116,WT,4-3",unknown,unknown,Homo sapiens,,OTHER,TRANSCRIPTOMIC,8188250,2456475000,,813462438,,Illumina HiSeq 2000,
SRR34700269,SRX29835554,1295776,RNA-seq,Cancer cell,"HCT116,WT,4-2",unknown,unknown,Homo sapiens,,OTHER,TRANSCRIPTOMIC,8108169,2432450700,,815385456,,Illumina HiSeq 2000,
SRR34700270,SRX29835553,1295776,RNA-seq,Cancer cell,"HCT116,WT,4-1",unknown,unknown,Homo sapiens,,OTHER,TRANSCRIPTOMIC,10221958,3066587400,,1005279863,,Illumina HiSeq 2000,
SRR34700271,SRX29835552,1295776,RNA-seq,Cancer cell,"HCT116,WT,2-2",unknown,unknown,Homo sapiens,,OTHER,TRANSCRIPTOMIC,9001997,2700599100,,900992924,,Illumina HiSeq 2000,
SRR34700272,SRX29835551,1295776,RNA-seq,Cancer cell,"HCT116,WT,2-1",unknown,unknown,Homo sapiens,,OTHER,TRANSCRIPTOMIC,9652195,2895658500,,981995079,,Illumina HiSeq 2000,
SRR34700273,SRX29835550,1295776,RNA-seq,Cancer cell,"HCT116,WT,0-3",unknown,unknown,Homo sapiens,,OTHER,TRANSCRIPTOMIC,9026835,2708050500,,915152131,,Illumina HiSeq 2000,
SRR34700274,SRX29835549,1295776,RNA-seq,Cancer cell,"HCT116,WT,0-2",unknown,unknown,Homo sapiens,,OTHER,TRANSCRIPTOMIC,11984427,3595328100,,1181048162,,Illumina HiSeq 2000,
SRR34700275,SRX29835548,1295776,RNA-seq,Cancer cell,"HCT116,WT,0-1",unknown,unknown,Homo sapiens,,OTHER,TRANSCRIPTOMIC,8904916,2671474800,,895853774,,Illumina HiSeq 2000,
SRR34700276,SRX29835547,1295776,RNA-seq,fungal cell,"NC,UPF1,60-3",unknown,unknown,Neurospora crassa,,OTHER,TRANSCRIPTOMIC,12947582,2589516400,,979062545,,Illumina HiSeq 2000,
SRR34700277,SRX29835546,1295776,RNA-seq,fungal cell,"NC,UPF1,60-2",unknown,unknown,Neurospora crassa,,OTHER,TRANSCRIPTOMIC,15031475,3006295000,,1126414405,,Illumina HiSeq 2000,
SRR34700278,SRX29835545,1295776,RNA-seq,fungal cell,"NC,UPF1,60-1",unknown,unknown,Neurospora crassa,,OTHER,TRANSCRIPTOMIC,11181845,2236369000,,837746941,,Illumina HiSeq 2000,
SRR34700279,SRX29835544,1295776,RNA-seq,fungal cell,"NC,UPF1,40-3",unknown,unknown,Neurospora crassa,,OTHER,TRANSCRIPTOMIC,12193515,2438703000,,914060448,,Illumina HiSeq 2000,
SRR34700280,SRX29835543,1295776,RNA-seq,fungal cell,"NC,UPF1,40-2",unknown,unknown,Neurospora crassa,,OTHER,TRANSCRIPTOMIC,11152312,2230462400,,839692838,,Illumina HiSeq 2000,
