biogroup_id,sample_count,sequencing_types,study_sources,cell_type,treatment,timepoint,tissue,is_cross_modal,is_cross_study,genotype
95bdd8f2,1150,"RNA-seq,Ribo-seq","848829,812862,604168,1263619,379447,1187475,417116,1103142,903814,1083195,704712,445453,473812,877653,1270455,630973,299045,1129445,858256,1191647,459526,769126,670552,768399,649449,504034,414611,271437,1244127,299048,297039,1245068,512491,1204289,1136820,750636,702160,430558,1113147,706468,970317,470579,873584,1123824,821340,541924,951511,954953,792575,563539,173092,1124923,852547,327113,784790,1113713,902621,412617,1116213,773909,794153,478760,782500,729811,510796,1028779,715464,1284240,602407,1121290,716630,342301,296059,989871,1083527,676082,718868,358815,971919,1007580,1121289,1136550,925168,779948,756018,697913,575406,1083196,780148,514710,1113597,676161,396456,1129072,1090696,734658,471907,615808,926487,1202056,1122518,480786,659038,1054207,978023,490682,182756,1194520,779283,1116206,275185,770523,473808,1145378,941525,347980,478730,471667,1058247,634332,415033,926112,389599,978085,371312,1060294,906951,419532,391171,419768,633140,1263618,838490,813625,803443,765951,400151,1120398,774895,615002,770962,1144916,776890,412874,400150,1122590,656190,940452,295955,396698,379448,515538,676083,603355,531262,1028780,744888,753845,1124388,601135,506724,416661,990710,1158872,649426,604169,801130,743831,890855,692108,1158871,1083472,1050581,1008576,606888,1238387,297338,1069085,1112384,1074219,303186,948060,548813,755296,255669,480788,1132552,918384,779461,926087,822292,541324,484227,1282489,978024,397543,1110494,862448,549629,816171,403993,760922,278390,738263,645135,1114884,1114693,1205218,817730,768456,876935,615003,972712,473925,321057,385767,1084474,694918,397035,954956,751084,938481",unknown,unknown,unknown,unknown,True,True,unknown
ae81e028,270,RNA-seq,792575,unknown,unknown,4 weeks,nucleus accumbens,False,False,unknown
3c547605,260,RNA-seq,"484227,412617,549205",unknown,unknown,unknown,left ventricle,False,True,c57bl/6
641840bd,168,"RNA-seq,Ribo-seq","1287737,548813,296059,1190589,926487,1136820,509424,926112,230574,605114,655835",,unknown,unknown,,True,True,
defdc782,164,Ribo-seq,941525,unknown,unknown,unknown,kidney,False,False,wild type genotype
e1f60a0d,144,RNA-seq,792575,unknown,unknown,48 hours,nucleus accumbens,False,False,unknown
e196d377,132,RNA-seq,"947524,947523,947527,947526",kucg-2 hipsc,wt,unknown,kucg-2 hipsc,False,True,kucg-2 hipsc
14c1cdb7,132,"RNA-seq,Ribo-seq",667075,unknown,unknown,unknown,aproximately a third of leaves 2 and 3 from leaf tips,True,False,b73
c04f4a2e,112,Ribo-seq,"1162540,575406",unknown,unknown,unknown,liver,False,True,unknown
aaa95386,108,"RNA-seq,Ribo-seq",1152441,unknown,unknown,unknown,unknown,True,False,sf370
0e336ae3,106,RNA-seq,275185,unknown,unknown,unknown,testis,False,False,c57b6
9f3b6060,104,RNA-seq,697913,unknown,unknown,unknown,oocyte,False,False,wt
270fd587,104,Ribo-seq,575406,unknown,unknown,unknown,testis,False,False,unknown
cd111a94,102,"RNA-seq,Ribo-seq","998462,998463,998459,946781,998460,998461,998457",imr90,unknown,unknown,imr90,True,True,imr90
8d800046,102,RNA-seq,926087,unknown,unknown,unknown,rnase-protected-fragment,False,False,unknown
fabd7fce,100,"RNA-seq,Ribo-seq",1099224,whole organism,cells (epimastigote stage) in nutritional stress for two hours,unknown,whole organism,True,False,dm28c
a74ba7f3,100,"RNA-seq,Ribo-seq",1099224,whole organism,cells (epimastigote stage) in exponential growth conditions,unknown,whole organism,True,False,dm28c
0c29f43e,96,"RNA-seq,Ribo-seq",760922,unknown,unknown,unknown,neural tube,True,False,c3heb/eif3cxs-j/+
aab86c6d,96,"RNA-seq,Ribo-seq",760922,unknown,unknown,unknown,neural tube,True,False,c3heb
546ea377,90,"RNA-seq,Ribo-seq","1116213,541324",hek293t,unknown,unknown,human embryonic kidney,True,True,hek293t
596d4b33,90,"RNA-seq,Ribo-seq",1051101,hek293t,unknown,unknown,cell line,True,False,hek293t
dc4a9faa,90,RNA-seq,"789243,789247",unknown,unknown,unknown,testis,False,True,c57bl/6j
f233e6dc,88,RNA-seq,838490,unknown,unknown,unknown,e11.5 neocortex,False,False,c57bl/6j
9eb967c5,88,RNA-seq,604580,h1 es cells,unknown,unknown,unmodified hescs were differentiated to the pp2 stage,False,False,h1 es cells
cb735023,88,RNA-seq,504034,unknown,unknown,unknown,ovary,False,False,cho
7b705bd2,80,"RNA-seq,Ribo-seq","774895,898352",mda-mb-231,unknown,unknown,breast cancer cell line,True,True,mda-mb-231
12dc32fc,76,"RNA-seq,Ribo-seq",885130,na,na,unknown,whole organism,True,False,na
74a72a7c,72,"RNA-seq,Ribo-seq",1113713,unknown,unknown,unknown,unknown,True,False,guangxi partridge chicken
38761eed,72,Ribo-seq,"890855,725741",unknown,unknown,unknown,whole organism,False,True,wild type genotype
0d2ff8a8,72,"RNA-seq,Ribo-seq",661558,mefs (mouse embryonic fibroblasts),unknown,unknown,mouse embryonic fibroblasts cells,True,False,c57bl/6j
3e40b959,72,Ribo-seq,575406,unknown,unknown,unknown,brain,False,False,unknown
3cdc83ca,70,RNA-seq,701262,cell line,unknown,unknown,hela cells,False,False,unknown
c091583e,70,RNA-seq,648398,cd4+ t cells,unknown,unknown,activated cd4+ t cells,False,False,c57bl/6
d31b81a3,66,RNA-seq,701262,oocyte,unknown,unknown,xenopus laevis stage vi oocyte,False,False,unknown
43c025b9,64,RNA-seq,"1071161,1071174,1071162,1071171",u-2os,thapsigargin for 2 hours,unknown,bone,False,True,u-2os
e5a4ccb8,64,RNA-seq,"1071161,1071174,1071162,1071171",u-2os,dmso for 2 hours,unknown,bone,False,True,u-2os
ba96de6a,64,RNA-seq,1049048,unknown,bacterial cells,unknown,strain 168,False,False,strain 168
8083bfac,64,"RNA-seq,Ribo-seq","729812,729871,728841",unknown,unknown,unknown,axenic culture,True,True,cs3005
