biogroup_id,sample_count,sequencing_types,study_sources,cell_type,treatment,timepoint,is_cross_modal,is_cross_study,cap_selection_method,fractionation_method,replicate,translation_inhibitor
95bdd8f2,4796,"Ribo-seq,RNA-seq,CAGE","954956,954953,801130,514710,1034671,1165488,651879,729811,1158871,1258865,1254209,676083,478760,1297545,1114884,598453,599788,1103142,1205218,484227,649449,651884,729812,1284240,530508,275185,651876,822292,899535,321304,925168,680357,794163,356772,271437,395016,1113713,1104552,1050581,911466,676082,816171,419768,1083195,1084474,789247,979342,412617,794153,1221137,789243,948060,821340,765951,639554,716630,1092679,630259,782500,1083099,1054207,1017399,777454,989134,838490,506724,1057253,729871,944706,1104551,1035983,759858,400151,1197449,1202056,639716,509065,677972,371312,784790,1083196,725700,296059,1162540,1035985,940452,651874,1008576,503765,471907,1019502,648380,543873,956972,751084,858256,598362,1114693,208993,1170270,1270455,511473,706468,651883,651877,1238387,729185,651875,505061,852547,651888,1124923,478730,994860,486172,1282121,342301,299048,575406,1047263,649426,598159,549629,604168,604169,540869,651878,1159806,1308098,1146784,651882,647327,477865,651886,1110494,1034054,986928,1151704,651887,1019380,668384,173092,971237,666973,780148,543399,720671,1135124,651885,1060294,951361,545844,932465,1157223,1194150,295556,785666,193543,1033864,1090696,1049048,358868,918384,1132552,507085,763584,395570,563539,1058247,321201,435567,749454,1032588,1027969,732080,651881,971919,397543,697913,389599,706704,606888,877653,471667,398285,1009809,725741,289569,728841,1158872,817730,1270796,975827,702293,715464,1004312,1033620,1031427,763037,1057254,602407,490651,1012978,651880,1152441,1191647,854638,546183,396698,548154,967039,342004,669197",unknown,unknown,unknown,True,True,,,,unknown
875970ca,490,"Ribo-seq,RNA-seq","445453,605114,230574,623612,541324,667952,1116213,763442,512491,655835,926487,445733,926112,970317,1136820,509424,296059,1190589,659038,548813,415033,369756,419532",,unknown,unknown,True,True,,,,
d128fdee,288,"Ribo-seq,RNA-seq","541924,603355",mESC,unknown,unknown,True,True,,unknown,unknown,unknown
60c7c655,270,RNA-seq,792575,animals were cohoused for 2 weeks then they were either separated or remained paired for either 48 hours or 4 weeks prior to tissue,unknown,4 weeks,False,False,,,unknown,
572f4c32,264,"Ribo-seq,RNA-seq","912651,1011928,1095927,830657,977673,1074219,674211",cardiomyocyte,unknown,unknown,True,True,,,,
d2c8a903,249,RNA-seq,"615003,615002",leukemia,unknown,unknown,False,True,,,unknown,
1c01e385,184,"Ribo-seq,RNA-seq","725741,397543,342301,1152441,861982,1270796,860962,765951,702293,838490,1098023,1157223,649449,794163,435567,1054207",unknown,,unknown,True,True,,,,
de956a27,173,RNA-seq,"1028780,1028779",This study provides RNA-sequencing and ribosome profiling data for patient-derived cell lines and patient tissue,unknown,unknown,False,True,,,unknown,
38807a28,165,"Ribo-seq,RNA-seq",941525,Replicate specimens from both tanks were then killed at up to 17 timepoints after cooling and kidney tissue,unknown,unknown,True,False,,,unknown,
12af89b9,148,RNA-seq,604580,ES-derived late pancreatic progenitor cells,unknown,unknown,False,False,,,unknown,
aa62f164,146,RNA-seq,1270452,embryonic fibroblast,unknown,unknown,False,False,,,unknown,
4625efed,144,RNA-seq,792575,animals were cohoused for 2 weeks then they were either separated or remained paired for either 48 hours or 4 weeks prior to tissue,unknown,48 hours,False,False,,,unknown,
c3696680,140,"Ribo-seq,RNA-seq","563539,530508,1051101,515538",,unknown,unknown,True,True,,,,
5dacf103,138,RNA-seq,"778050,504034",CHO cell,unknown,unknown,False,True,,,unknown,
f420b0f9,136,RNA-seq,"1037596,480788,522816,1243989,646470,926087,1244127,831863,480786,601135",and cell,unknown,unknown,False,True,,,,
2930ce59,135,"Ribo-seq,RNA-seq","768456,303186,769126",,unknown,unknown,True,True,,,,
baa07f7b,133,"Ribo-seq,RNA-seq",667075,sheath cells,unknown,unknown,True,False,,,,
7b10e2a4,123,"Ribo-seq,RNA-seq","803443,1185761,533074,1035318,1270452,509230,946781,377088",fibroblasts,unknown,unknown,True,True,,,,
23eee0f3,117,RNA-seq,445453,type cell,unknown,unknown,False,False,,,,
e8a775e8,108,RNA-seq,701262,cell line,unknown,unknown,False,False,,,unknown,
9ee9a987,102,"Ribo-seq,RNA-seq",1246569,B-cells,unknown,unknown,True,False,,,,
eceba411,100,"Ribo-seq,RNA-seq",1099224,whole organism,cells (epimastigote stage) in nutritional stress for two hours,unknown,True,False,,,,
b9fbc747,100,"Ribo-seq,RNA-seq",1099224,whole organism,cells (epimastigote stage) in exponential growth conditions,unknown,True,False,,,,
f152e4fb,97,RNA-seq,375080,we identified known and novel micropeptides encoded by small ORFs from long non-coding RNAs with functional relevance to tissue,unknown,unknown,False,False,,,unknown,
115cd6af,96,"Ribo-seq,RNA-seq","734658,530508,1185761,750456",,unknown,unknown,True,True,,unknown,unknown,unknown
9a66320a,96,RNA-seq,672952,20 hour activated CD4 T cells,unknown,unknown,False,False,,,unknown,
1facf1d8,94,"Ribo-seq,RNA-seq","998457,998462,998459,998463,998460,998461",human lung fibroblast,unknown,unknown,True,True,,,,
6271f733,92,"Ribo-seq,RNA-seq","885130,1166187",,,unknown,True,True,,,unknown,
52510112,86,RNA-seq,770523,patient-derived glioma stem cell,unknown,unknown,False,False,,,unknown,
f3a9a43b,80,"Ribo-seq,RNA-seq","898352,774895",MDA-MB-231,unknown,unknown,True,True,,,unknown,
00150a3c,80,"Ribo-seq,RNA-seq",297338,HeLa S3 cells,unknown,unknown,True,False,,unknown,,unknown
c0fc8114,77,RNA-seq,"694918,756018,549205,1069085,515538",human cell,unknown,unknown,False,True,,,unknown,
d41a8608,76,"Ribo-seq,RNA-seq","882418,648380,986928,609216",unknown,,unknown,True,True,,,,
e0a9a645,76,RNA-seq,541924,Ne4C,unknown,unknown,False,False,,,unknown,
d8c16b8f,74,"Ribo-seq,RNA-seq","949707,634994,1027912",neurons,unknown,unknown,True,True,,unknown,unknown,unknown
a8c26e67,74,RNA-seq,734953,breast cancer cell line,unknown,unknown,False,False,,,unknown,
e7f96a61,73,RNA-seq,"529885,602676,445453,391171",HepG2,unknown,unknown,False,True,,,,
843921d3,72,RNA-seq,876935,EBV-transformed lymphoblastoid B-cell lines (LCL),Sodium Arsenite,unknown,False,False,,,unknown,
fe2f5dd8,72,RNA-seq,876935,EBV-transformed lymphoblastoid B-cell lines (LCL),Control,unknown,False,False,,,unknown,
55555d49,72,"Ribo-seq,RNA-seq","445453,509424,795419,779948",HeLa,unknown,unknown,True,True,,,,
ea88e142,72,RNA-seq,669814,Cultured human cord blood-derived CD34+ cells,unknown,unknown,False,False,,,,
c1c92f17,72,RNA-seq,406823,Fetus derived cell line from female human embryonic kidney,unknown,unknown,False,False,,,unknown,
5c9db433,70,RNA-seq,648398,CD4+ T cells,unknown,unknown,False,False,,,unknown,
d47373d0,68,RNA-seq,591767,glioblastoma cell line,unknown,unknown,False,False,,,unknown,
a2e9e172,66,RNA-seq,701262,oocyte,unknown,unknown,False,False,,,unknown,
e1cd5daa,65,RNA-seq,990964,plant cells,unknown,unknown,False,False,,,,
d9a3a2e4,64,RNA-seq,"1071171,1071174,1071162,1071161",epithelial,Thapsigargin for 2 hours,unknown,False,True,,,unknown,
a8d884a2,64,RNA-seq,"1071171,1071174,1071162,1071161",epithelial,DMSO for 2 hours,unknown,False,True,,,unknown,
d98ad247,64,"Ribo-seq,RNA-seq","676161,747022",the cells,untreated,unknown,True,True,,,unknown,
7169f718,61,"Ribo-seq,RNA-seq","951511,731067",embryonic stem cell,unknown,unknown,True,True,,,,
1ec424bf,60,RNA-seq,1035318,Human Dermal Fibroblasts,unknown,unknown,False,False,,,unknown,
510e634f,59,"Ribo-seq,RNA-seq","1120398,415033,406823,702160,369756,982760,1190589,734658",HEK293 cells,unknown,unknown,True,True,,,unknown,
67d6a367,58,RNA-seq,"489275,677870,755296,600267,722238,717063,1063244,734003",control cells,unknown,unknown,False,True,,,unknown,
255af0b4,58,RNA-seq,1035318,Human Umbilical Vein Endothelial Cells,unknown,unknown,False,False,,,unknown,
417c9368,58,"Ribo-seq,RNA-seq",779461,HCT116,"Cells were treated with 100µg/mL cycloheximide for 10min and then lysed in polysome lysis buffer. After centrifugation, 100 µL cell lysates were used to extract RNA with TRIzol. Then 5~10 µg RNA was used to purify mRNAs with oligo dT beads. The purified mRNAs were used for RNA-seq library preparation.",unknown,True,False,,unknown,,unknown
ced3a2ef,58,"Ribo-seq,RNA-seq",473812,E14Tg2a,"NF-YA siRNA (Invitrogen, MSS247473)",unknown,True,False,,,,
ef43a9a3,57,RNA-seq,"753865,351825,1166187,1002994,1049449,1055023,1049448,472015,753863,358815,753852,753858,1049447,753845,1049446,645024,667051",,unknown,unknown,False,True,,,,
2c1a4310,56,RNA-seq,"1148496,945876",fungal cells,unknown,unknown,False,True,,,unknown,
9c28c43f,56,"Ribo-seq,RNA-seq",473812,E14Tg2a,"non-targeting control siRNA (Dharmacon, D- 001810-02-50)",unknown,True,False,,,,
9de61a4e,55,"Ribo-seq,RNA-seq","812862,813625,728841,811063",neuron,unknown,unknown,True,True,,,,
9d805553,54,RNA-seq,926087,and cell,untreated,unknown,False,False,,,,
2c30a8e2,54,RNA-seq,885130,embryonic kidney,"100uM 4sU fed for 24h, then washed out for chase over 8h",unknown,False,False,,,unknown,
e1fdff60,52,RNA-seq,748842,primary CD8 T cells,unknown,unknown,False,False,,,unknown,
5d9f4a2e,52,"Ribo-seq,RNA-seq",667051,epithelial cells,Cycloheximide,24hpi,True,False,,unknown,,unknown
a7d3cb73,50,"Ribo-seq,RNA-seq",477865,unknown,RNAi against unc-22 (BJA7),unknown,True,False,,,unknown,
1e5ea632,49,"Ribo-seq,RNA-seq",890855,on cells,unknown,unknown,True,False,,,unknown,
b29d4a5c,49,RNA-seq,255669,subjected cells,unknown,unknown,False,False,,,unknown,
7cc633ec,48,RNA-seq,1083472,progenitor cell,RNAi,unknown,False,False,,,unknown,
328f4a8d,48,RNA-seq,1047524,Adenocarcinoma; Colorectal; Dukes' type B,induced (Doxycicline),unknown,False,False,,,unknown,
c71237cb,48,RNA-seq,1047524,Adenocarcinoma; Colorectal; Dukes' type B,uninduced (DMSO),unknown,False,False,,,unknown,
dcfc8167,48,"Ribo-seq,RNA-seq","918680,918681",infected cells,None,None,True,True,,unknown,,unknown
7dbe15e0,48,RNA-seq,"615808,842067,753469,295955",S2 cells,unknown,unknown,False,True,,,,
23c1da12,48,"Ribo-seq,RNA-seq",667051,epithelial cells,Cycloheximide,48hpi,True,False,,unknown,,unknown
13bdfdc0,48,"Ribo-seq,RNA-seq",661558,MEFs (mouse embryonic fibroblasts),unknown,2 h,True,False,,,,
b2f27020,48,RNA-seq,605444,lymphoma cell,DDX3Xsh,unknown,False,False,,,unknown,
6b2493a1,48,RNA-seq,417116,mouse lymphoid Ba/F3 cells,unknown,unknown,False,False,,,unknown,
285cb6f3,48,RNA-seq,"398285,395723",mouse embryonic fibroblast,unknown,unknown,False,True,,,unknown,
bd9e5182,46,"Ribo-seq,RNA-seq",1173087,Ras transformed melanocytes,unknown,unknown,True,False,,,unknown,
5af63ba9,46,RNA-seq,1027912,heads,unknown,unknown,False,False,,,unknown,
2841f16b,46,RNA-seq,"947524,947527,947526,947523",Human induced pluripotent stem cell,WT,unknown,False,True,,,,
822aa1e2,46,"Ribo-seq,RNA-seq","634332,670552",,unknown,unknown,True,True,,,unknown,
7d727820,46,"Ribo-seq,RNA-seq","598362,598359",P19,unknown,unknown,True,True,,unknown,unknown,unknown
fc02d859,44,"Ribo-seq,RNA-seq",1173087,Immortalized melanocytes,unknown,unknown,True,False,,,unknown,
4824b857,41,RNA-seq,1176138,leukemia cells,unknown,unknown,False,False,,,unknown,
be24c832,41,RNA-seq,668372,total cell,unknown,unknown,False,False,,,unknown,
cb310994,40,"Ribo-seq,RNA-seq","1244127,1243989",H98,2mM H2O2,unknown,True,True,,unknown,,unknown
cdf7e972,40,RNA-seq,"1046391,1046396",lymphoblast cells,None,unknown,False,True,,,unknown,
cfbccfa9,40,RNA-seq,1002994,colon cancer cell,unknown,unknown,False,False,,,unknown,
4c848a2d,40,RNA-seq,717060,Nasopharyngeal carcinoma cell line,unknown,unknown,False,False,,,unknown,
62d6df99,40,RNA-seq,633140,mESC J1,unknown,unknown,False,False,,,unknown,
a7ec5382,40,RNA-seq,499089,Flt3L-DC,unknown,unknown,False,False,,,unknown,
322a212f,40,RNA-seq,473808,BMDC,unknown,unknown,False,False,,,unknown,
20d2f0e8,40,"Ribo-seq,RNA-seq",396456,human embryonic kindey cells,unknown,unknown,True,False,,,unknown,
7ebd4b43,40,Ribo-seq,395570,LN-229,unknown,unknown,False,False,,unknown,unknown,unknown
cbf88948,39,RNA-seq,"1071981,1019929,1020634,1022765",germ cell,unknown,unknown,False,True,,,unknown,
f74a4a4b,39,RNA-seq,"1002346,906951,648109",causes cell,unknown,unknown,False,True,,,unknown,
