Run,study_accession	
SRR1802129,PRJNA275305	
SRR1802130,PRJNA275305	
SRR1802131,PRJNA275305	
SRR1802132,PRJNA275305	
SRR1802133,PRJNA275305	
SRR1802134,PRJNA275305	
SRR1802135,PRJNA275305	
SRR1802136,PRJNA275305	
SRR1802137,PRJNA275305	
SRR1802138,PRJNA275305	
SRR1802139,PRJNA275305	
SRR1802140,PRJNA275305	
SRR1802141,PRJNA275305	
SRR1802142,PRJNA275305	
SRR1802146,PRJNA275305	
SRR1802147,PRJNA275305	
SRR1802148,PRJNA275305	
SRR1802149,PRJNA275305	
SRR1802150,PRJNA275305	
SRR1802151,PRJNA275305	
SRR1802152,PRJNA275305	
SRR1802153,PRJNA275305	
SRR1802154,PRJNA275305	
SRR1802155,PRJNA275305	
SRR1802156,PRJNA275305	
SRR1802157,PRJNA275305	
SRR2433794,PRJNA296059	
SRR2954800,PRJNA303958	
SRR2954801,PRJNA303958	
SRR9113062,PRJNA544411	
SRR9113063,PRJNA544411	
SRR9113064,PRJNA544411	
SRR9113065,PRJNA544411	
SRR9113066,PRJNA544411	
SRR9113067,PRJNA544411	
SRR9113068,PRJNA544411	
SRR9113069,PRJNA544411	
SRR8449566,PRJNA515538	
SRR8449567,PRJNA515538	
SRR8449568,PRJNA515538	
SRR8449569,PRJNA515538	
SRR8449570,PRJNA515538	
SRR8449571,PRJNA515538	
SRR8449572,PRJNA515538	
SRR8449573,PRJNA515538	
SRR8449574,PRJNA515538	
SRR8449575,PRJNA515538	
SRR8449576,PRJNA515538	
SRR8449577,PRJNA515538	
SRR8449578,PRJNA515538	
SRR8449579,PRJNA515538	
SRR8449580,PRJNA515538	
SRR8449581,PRJNA515538	
SRR11005875,PRJNA604580	
SRR11005876,PRJNA604580	
SRR11005877,PRJNA604580	
SRR11005878,PRJNA604580	
SRR11005879,PRJNA604580	
SRR11005880,PRJNA604580	
SRR11005881,PRJNA604580	
SRR11005882,PRJNA604580	
SRR11005883,PRJNA604580	
SRR11005884,PRJNA604580	
SRR11005885,PRJNA604580	
SRR11005886,PRJNA604580	
SRR11005887,PRJNA604580	
SRR11005888,PRJNA604580	
SRR11005889,PRJNA604580	
SRR11005890,PRJNA604580	
SRR11005891,PRJNA604580	
SRR11005892,PRJNA604580	
SRR11005893,PRJNA604580	
SRR11005894,PRJNA604580	
SRR11005895,PRJNA604580	
SRR11005896,PRJNA604580	
SRR11005897,PRJNA604580	
SRR11005898,PRJNA604580	
SRR11005899,PRJNA604580	
SRR11005900,PRJNA604580	
SRR11005901,PRJNA604580	
SRR11005902,PRJNA604580	
SRR11005903,PRJNA604580	
SRR11005904,PRJNA604580	
SRR15513148,PRJNA756018	
SRR15513149,PRJNA756018	
SRR15513150,PRJNA756018	
SRR15513151,PRJNA756018	
SRR15513152,PRJNA756018	
SRR15513153,PRJNA756018	
SRR15513154,PRJNA756018	
SRR15513155,PRJNA756018	
SRR15513156,PRJNA756018	
SRR15513157,PRJNA756018	
SRR15513158,PRJNA756018	
SRR15513159,PRJNA756018	
SRR15513160,PRJNA756018	
SRR15513161,PRJNA756018	
SRR15513162,PRJNA756018	
SRR15513163,PRJNA756018	
SRR15513164,PRJNA756018	
SRR15513165,PRJNA756018	
SRR15513166,PRJNA756018	
SRR15513167,PRJNA756018	
SRR15513168,PRJNA756018	
SRR15513169,PRJNA756018	
SRR15513170,PRJNA756018	
SRR15513171,PRJNA756018	
SRR15513172,PRJNA756018	
SRR15513173,PRJNA756018	
SRR15513174,PRJNA756018	
SRR15513175,PRJNA756018	
SRR15513176,PRJNA756018	
SRR15513177,PRJNA756018	
SRR15513178,PRJNA756018	
SRR15513179,PRJNA756018	
SRR15513180,PRJNA756018	
SRR15513181,PRJNA756018	
SRR15513182,PRJNA756018	
SRR15513183,PRJNA756018	
SRR15513184,PRJNA756018	
SRR15513185,PRJNA756018	
SRR15513186,PRJNA756018	
SRR15513187,PRJNA756018	
SRR15513188,PRJNA756018	
SRR15513189,PRJNA756018	
SRR15513190,PRJNA756018	
SRR15513191,PRJNA756018	
SRR15513192,PRJNA756018	
SRR15513193,PRJNA756018	
SRR15513194,PRJNA756018	
SRR15513195,PRJNA756018	
SRR15513196,PRJNA756018	
SRR15513197,PRJNA756018	
SRR15513198,PRJNA756018	
SRR15513199,PRJNA756018	
SRR15513200,PRJNA756018	
SRR15513201,PRJNA756018	
SRR15513202,PRJNA756018	
SRR15513203,PRJNA756018	
SRR15513204,PRJNA756018	
SRR15513205,PRJNA756018	
SRR15513206,PRJNA756018	
SRR15513207,PRJNA756018	
SRR15513208,PRJNA756018	
SRR15513209,PRJNA756018	
SRR15513210,PRJNA756018	
SRR15513211,PRJNA756018	
SRR15513212,PRJNA756018	
SRR15513213,PRJNA756018	
SRR15513214,PRJNA756018	
SRR15513215,PRJNA756018	
SRR15513216,PRJNA756018	
SRR15513217,PRJNA756018	
SRR15513218,PRJNA756018	
SRR15513219,PRJNA756018	
SRR15513220,PRJNA756018	
SRR15513221,PRJNA756018	
SRR15513222,PRJNA756018	
SRR15513223,PRJNA756018	
SRR15513224,PRJNA756018	
SRR15513225,PRJNA756018	
SRR15513226,PRJNA756018	
SRR1562539,PRJNA223060	
SRR1562540,PRJNA223060	
SRR1562541,PRJNA223060	
SRR1528686,PRJNA256316	
SRR1528687,PRJNA256316	
SRR1528688,PRJNA256316	
SRR1528689,PRJNA256316	
SRR1204656,PRJNA242628	
