Run,study_accession
DRR244662,PRJDB10544
DRR244663,PRJDB10544
DRR255640,PRJDB10799
DRR255641,PRJDB10799
DRR255642,PRJDB10799
DRR255643,PRJDB10799
DRR255644,PRJDB10799
DRR255645,PRJDB10799
DRR255646,PRJDB10799
DRR255647,PRJDB10799
DRR395056,PRJDB13770
DRR395057,PRJDB13770
DRR395058,PRJDB13770
DRR395059,PRJDB13770
DRR395060,PRJDB13770
DRR395061,PRJDB13770
DRR395062,PRJDB13770
DRR395063,PRJDB13770
DRR395064,PRJDB13770
DRR395065,PRJDB13770
DRR395066,PRJDB13770
DRR395067,PRJDB13770
DRR395080,PRJDB13770
DRR395081,PRJDB13770
DRR395082,PRJDB13770
DRR395083,PRJDB13770
DRR395084,PRJDB13770
DRR395085,PRJDB13770
DRR395086,PRJDB13770
DRR395087,PRJDB13770
DRR395088,PRJDB13770
DRR395089,PRJDB13770
DRR395090,PRJDB13770
DRR395091,PRJDB13770
ERR9951986,PRJEB54714
ERR9951989,PRJEB54714
ERR9951988,PRJEB54714
ERR9951987,PRJEB54714
SRR544881,PRJNA173092
SRR652152,PRJNA187087
SRR652153,PRJNA187087
SRR974752,PRJNA187087
SRR974753,PRJNA187087
SRR3495992,PRJNA321201
SRR3495993,PRJNA321201
SRR3495994,PRJNA321201
SRR3495995,PRJNA321201
SRR3495996,PRJNA321201
SRR3495997,PRJNA321201
SRR3495998,PRJNA321201
SRR3495999,PRJNA321201
SRR3498206,PRJNA321304
SRR3498207,PRJNA321304
SRR3498208,PRJNA321304
SRR3498209,PRJNA321304
SRR3498210,PRJNA321304
SRR3498211,PRJNA321304
SRR3749602,PRJNA328073
SRR3749603,PRJNA328073
SRR3749604,PRJNA328073
SRR4424237,PRJNA348553
SRR4424238,PRJNA348553
SRR5131986,PRJNA358868
SRR6051823,PRJNA407986
SRR6051824,PRJNA407986
SRR6051825,PRJNA407986
SRR6051826,PRJNA407986
SRR6051827,PRJNA407986
SRR6051828,PRJNA407986
SRR6466829,PRJNA429734
SRR6466830,PRJNA429734
SRR6466831,PRJNA429734
SRR6466832,PRJNA429734
SRR8839734,PRJNA530618
SRR8839733,PRJNA530618
SRR10620357,PRJNA594648
SRR10620358,PRJNA594648
SRR10620359,PRJNA594648
SRR10620360,PRJNA594648
SRR10620361,PRJNA594648
SRR10620362,PRJNA594648
SRR11943827,PRJNA637713
SRR11943826,PRJNA637713
SRR11943825,PRJNA637713
SRR11943824,PRJNA637713
SRR11943823,PRJNA637713
SRR11943822,PRJNA637713
SRR11943820,PRJNA637713
SRR11943819,PRJNA637713
SRR11943818,PRJNA637713
SRR11943817,PRJNA637713
SRR11943816,PRJNA637713
SRR11943815,PRJNA637713
SRR13808105,PRJNA637713
