Run,study_accession
SRR407278,PRJNA152495
SRR407279,PRJNA152495
SRR407280,PRJNA152495
SRR407281,PRJNA152495
SRR987018,PRJNA219205
SRR987020,PRJNA219205
SRR987022,PRJNA219205
SRR987023,PRJNA219205
SRR5278491,PRJNA376419
SRR5278492,PRJNA376419
SRR5278493,PRJNA376419
SRR6652803,PRJNA376419
SRR8545522,PRJNA521364
SRR8545523,PRJNA521364
SRR8545524,PRJNA521364
SRR8545525,PRJNA521364
SRR8545526,PRJNA521364
SRR8545527,PRJNA521364
SRR8545528,PRJNA521364
SRR8545529,PRJNA521364
SRR8545530,PRJNA521364
SRR8545531,PRJNA521364
SRR8545532,PRJNA521364
SRR8545533,PRJNA521364
SRR13142690,PRJNA680784
SRR13142691,PRJNA680784
SRR13142692,PRJNA680784
SRR13142693,PRJNA680784
SRR13142694,PRJNA680784
SRR13142695,PRJNA680784
SRR13142696,PRJNA680784
SRR13142697,PRJNA680784
SRR13142698,PRJNA680784
SRR13142699,PRJNA680784
SRR13142700,PRJNA680784
SRR13142701,PRJNA680784
SRR26666341,PRJNA1031643
SRR26666339,PRJNA1031643
SRR26666338,PRJNA1031643
SRR26666336,PRJNA1031643
SRR27103833,PRJNA1049048
SRR27103832,PRJNA1049048
SRR27103831,PRJNA1049048
SRR27103830,PRJNA1049048
SRR27103829,PRJNA1049048
SRR27103828,PRJNA1049048
SRR27103827,PRJNA1049048
SRR27103826,PRJNA1049048
SRR27103825,PRJNA1049048
SRR27103824,PRJNA1049048
SRR27103823,PRJNA1049048
SRR27103822,PRJNA1049048
SRR27103821,PRJNA1049048
SRR27103820,PRJNA1049048
SRR27103819,PRJNA1049048
SRR27103818,PRJNA1049048
SRR27103817,PRJNA1049048
SRR27103816,PRJNA1049048
SRR27103815,PRJNA1049048
SRR27103814,PRJNA1049048
SRR27103813,PRJNA1049048
SRR27103812,PRJNA1049048
SRR27103811,PRJNA1049048
SRR27103810,PRJNA1049048
SRR27103809,PRJNA1049048
SRR27103808,PRJNA1049048
SRR27103807,PRJNA1049048
SRR27103806,PRJNA1049048
SRR27103805,PRJNA1049048
SRR27103804,PRJNA1049048
SRR27103803,PRJNA1049048
SRR27103802,PRJNA1049048
SRR29542557,PRJNA1128008
SRR29542556,PRJNA1128008
SRR29542553,PRJNA1128008
SRR29542552,PRJNA1128008
