Run,study_accession
SRR1027794,PRJNA227213
SRR1027795,PRJNA227213
SRR1027796,PRJNA227213
SRR12228381,PRJNA646470
SRR12228382,PRJNA646470
SRR12228383,PRJNA646470
SRR12228384,PRJNA646470
SRR12228385,PRJNA646470
SRR12228386,PRJNA646470
SRR23891378,PRJNA945876
SRR23891377,PRJNA945876
SRR23891376,PRJNA945876
SRR23891375,PRJNA945876
SRR23891370,PRJNA945876
SRR23891369,PRJNA945876
SRR23891368,PRJNA945876
SRR23891367,PRJNA945876
SRR18482810,PRJNA819978
SRR18482809,PRJNA819978
SRR18482808,PRJNA819978
SRR18482807,PRJNA819978
SRR18482806,PRJNA819978
SRR18482805,PRJNA819978
SRR18482804,PRJNA819978
SRR18482803,PRJNA819978
SRR18482802,PRJNA819978
SRR18482801,PRJNA819978
SRR18482800,PRJNA819978
SRR18482799,PRJNA819978
SRR18482577,PRJNA819979
SRR18482576,PRJNA819979
SRR18482575,PRJNA819979
SRR18482574,PRJNA819979
SRR18482573,PRJNA819979
SRR18482572,PRJNA819979
SRR18482571,PRJNA819979
SRR18482570,PRJNA819979
SRR18482569,PRJNA819979
SRR18482568,PRJNA819979
SRR18482567,PRJNA819979
SRR18482566,PRJNA819979
SRR10072584,PRJNA564089
SRR10072585,PRJNA564089
