Run,study_accession
ERR6109836,PRJEB45876
ERR6109837,PRJEB45876
ERR6109838,PRJEB45876
ERR6109839,PRJEB45876
ERR6109840,PRJEB45876
ERR6109841,PRJEB45876
ERR6109842,PRJEB45876
ERR6109843,PRJEB45876
ERR6109844,PRJEB45876
ERR6109845,PRJEB45876
ERR6109846,PRJEB45876
ERR6109847,PRJEB45876
ERR6109848,PRJEB45876
ERR6109849,PRJEB45876
ERR6109850,PRJEB45876
ERR6109851,PRJEB45876
ERR6109852,PRJEB45876
ERR6109853,PRJEB45876
ERR6109854,PRJEB45876
ERR6109855,PRJEB45876
ERR6109856,PRJEB45876
ERR6109857,PRJEB45876
ERR6109858,PRJEB45876
ERR6109859,PRJEB45876
ERR6109860,PRJEB45876
ERR6109861,PRJEB45876
ERR6109862,PRJEB45876
ERR6109863,PRJEB45876
ERR6109864,PRJEB45876
ERR6109865,PRJEB45876
ERR6109866,PRJEB45876
SRR12764729,PRJNA667051
SRR12764730,PRJNA667051
SRR12764731,PRJNA667051
SRR12764732,PRJNA667051
SRR12764733,PRJNA667051
SRR12764734,PRJNA667051
SRR12764735,PRJNA667051
SRR12764736,PRJNA667051
SRR12764737,PRJNA667051
SRR12764738,PRJNA667051
SRR12764739,PRJNA667051
SRR12764740,PRJNA667051
SRR12764753,PRJNA667051
SRR12764754,PRJNA667051
SRR12764755,PRJNA667051
SRR12764756,PRJNA667051
SRR12764757,PRJNA667051
SRR12764758,PRJNA667051
SRR12764759,PRJNA667051
SRR12764760,PRJNA667051
SRR12764761,PRJNA667051
SRR12764762,PRJNA667051
SRR12764763,PRJNA667051
SRR12764764,PRJNA667051
SRR12764777,PRJNA667051
SRR12764778,PRJNA667051
SRR12764779,PRJNA667051
SRR12764780,PRJNA667051
SRR12764781,PRJNA667051
SRR12764782,PRJNA667051
SRR12764783,PRJNA667051
SRR12764784,PRJNA667051
SRR12764785,PRJNA667051
SRR12764786,PRJNA667051
SRR12764787,PRJNA667051
SRR12764788,PRJNA667051
SRR15324684,PRJNA667051
SRR15324685,PRJNA667051
SRR15324686,PRJNA667051
SRR15324687,PRJNA667051
SRR15324688,PRJNA667051
