Run,study_accession
SRR3284449,PRJNA316065
SRR3284450,PRJNA316065
SRR3284451,PRJNA316065
SRR3284452,PRJNA316065
SRR3284453,PRJNA316065
SRR3284454,PRJNA316065
SRR3284461,PRJNA316065
SRR3284462,PRJNA316065
SRR3284463,PRJNA316065
SRR3284464,PRJNA316065
SRR3284465,PRJNA316065
SRR3284466,PRJNA316065
SRR10669482,PRJNA594947
SRR10669483,PRJNA594947
SRR10669484,PRJNA594947
SRR10669485,PRJNA594947
SRR16796970,PRJNA778050
SRR16796969,PRJNA778050
SRR16796968,PRJNA778050
SRR16796967,PRJNA778050
SRR16796966,PRJNA778050
SRR16796965,PRJNA778050
SRR16796964,PRJNA778050
SRR16796963,PRJNA778050
SRR16796962,PRJNA778050
SRR16796961,PRJNA778050
SRR16796959,PRJNA778050
SRR16796958,PRJNA778050
SRR16796957,PRJNA778050
SRR16796956,PRJNA778050
SRR16796955,PRJNA778050
SRR16796954,PRJNA778050
SRR16796953,PRJNA778050
SRR16796952,PRJNA778050
SRR16796951,PRJNA778050
SRR16796950,PRJNA778050
SRR16796948,PRJNA778050
SRR16796947,PRJNA778050
SRR16796942,PRJNA778050
SRR16796941,PRJNA778050
