Run,study_accession
SRR1062197,GSE53693
SRR1062198,GSE53693
SRR1062199,GSE53693
SRR1062200,GSE53693
SRR1062201,GSE53693
SRR1062202,GSE53693
SRR1062203,GSE53693
SRR1062204,GSE53693
SRR1062205,GSE53693
SRR1062206,GSE53693
SRR1062207,GSE53693
SRR1062208,GSE53693
SRR1062209,GSE53693
SRR1062210,GSE53693
SRR1062211,GSE53693
SRR1062212,GSE53693
SRR1062213,GSE53693
SRR1062214,GSE53693
SRR1062215,GSE53693
SRR1062216,GSE53693
SRR1062217,GSE53693
SRR1062218,GSE53693
SRR1062219,GSE53693
SRR1062220,GSE53693
SRR1062221,GSE53693
SRR1062222,GSE53693
SRR1062223,GSE53693
SRR1062224,GSE53693
SRR1062225,GSE53693
SRR1062226,GSE53693
SRR1062227,GSE53693
SRR1062228,GSE53693
SRR1062229,GSE53693
SRR1062230,GSE53693
SRR1062231,GSE53693
SRR1062232,GSE53693
SRR1062233,GSE53693
SRR1062234,GSE53693
SRR1062235,GSE53693
SRR1062236,GSE53693
SRR1062237,GSE53693
SRR1062243,GSE53693
SRR1062244,GSE53693
SRR1062245,GSE53693
SRR1062246,GSE53693
SRR1062247,GSE53693
SRR1062248,GSE53693
SRR1062249,GSE53693
SRR1062250,GSE53693
SRR1062251,GSE53693
SRR1062252,GSE53693
SRR1062253,GSE53693
SRR1062254,GSE53693
SRR1062255,GSE53693
SRR1062256,GSE53693
SRR1062257,GSE53693
SRR1062258,GSE53693
SRR1062259,GSE53693
SRR1062260,GSE53693
SRR1062261,GSE53693
SRR1062262,GSE53693
SRR1062263,GSE53693
SRR1062264,GSE53693
SRR1062265,GSE53693
SRR1062266,GSE53693
SRR1062267,GSE53693
SRR1062268,GSE53693
SRR1062269,GSE53693
SRR1062270,GSE53693
SRR1062280,GSE53693
SRR1062281,GSE53693
SRR1062282,GSE53693
SRR1062283,GSE53693
SRR1062284,GSE53693
SRR1062285,GSE53693
SRR1062286,GSE53693
