Run,study_accession
SRR5667267,GSE99920
SRR5667268,GSE99920
SRR5667269,GSE99920
SRR5667276,GSE99920
SRR5667277,GSE99920
SRR5667278,GSE99920
SRR5667282,GSE99920
SRR5667283,GSE99920
SRR5667284,GSE99920
SRR13664942,PRJNA700841
SRR13664943,PRJNA700841
SRR13664944,PRJNA700841
SRR13664945,PRJNA700841
SRR13664946,PRJNA700841
SRR7132295,PRJNA466150
SRR7132294,PRJNA466150
SRR7132293,PRJNA466150
SRR7132292,PRJNA466150
SRR7132291,PRJNA466150
SRR7132290,PRJNA466150
SRR7132289,PRJNA466150
SRR7132288,PRJNA466150
SRR7132287,PRJNA466150
SRR7132286,PRJNA466150
SRR7132277,PRJNA466150
ERR466123,PRJEB5938
ERR466122,PRJEB5938
SRR1548656,PRJNA258156
SRR1548657,PRJNA258156
SRR1548658,PRJNA258156
SRR1548659,PRJNA258156
SRR2442882,PRJNA295955
SRR2442883,PRJNA295955
SRR2442893,PRJNA295955
SRR2442894,PRJNA295955
SRR2442916,PRJNA295955
SRR2442917,PRJNA295955
SRR2442924,PRJNA295955
SRR2442925,PRJNA295955
SRR2442929,PRJNA295955
SRR2442930,PRJNA295955
SRR3031124,PRJNA306373
SRR3031125,PRJNA306373
SRR3031126,PRJNA306373
SRR3031127,PRJNA306373
SRR3031128,PRJNA306373
SRR3031129,PRJNA306373
SRR3031130,PRJNA306373
SRR3031131,PRJNA306373
SRR3031133,PRJNA306373
SRR3031134,PRJNA306373
SRR3031135,PRJNA306373
SRR7262146,PRJNA306373
SRR7262143,PRJNA306373
SRR6661166,PRJNA432508
SRR6661167,PRJNA432508
SRR6661168,PRJNA432508
SRR6661169,PRJNA432508
SRR6661170,PRJNA432508
SRR6661171,PRJNA432508
SRR6661172,PRJNA432508
SRR6661173,PRJNA432508
SRR6661174,PRJNA432508
SRR6661175,PRJNA432508
SRR6661176,PRJNA432508
SRR6661177,PRJNA432508
SRR10174382,PRJNA573922
SRR10174381,PRJNA573922
SRR10174380,PRJNA573922
SRR10174379,PRJNA573922
SRR10174378,PRJNA573922
SRR10174377,PRJNA573922
SRR10174376,PRJNA573922
SRR10174375,PRJNA573922
SRR10174370,PRJNA573922
SRR10174369,PRJNA573922
SRR10174368,PRJNA573922
SRR10174361,PRJNA573922
SRR20820095,PRJNA865860
SRR20820094,PRJNA865860
SRR20820093,PRJNA865860
SRR942868,PRJNA213294
SRR942869,PRJNA213294
SRR942870,PRJNA213294
SRR942871,PRJNA213294
SRR942874,PRJNA213294
SRR942875,PRJNA213294
SRR942876,PRJNA213294
SRR942877,PRJNA213294
SRR942878,PRJNA213294
SRR942879,PRJNA213294
SRR942880,PRJNA213294
SRR942881,PRJNA213294
SRR1039767,PRJNA230057
SRR1039768,PRJNA230057
SRR1039769,PRJNA230057
SRR1039770,PRJNA230057
SRR1039771,PRJNA230057
SRR1039772,PRJNA230057
SRR3710282,PRJNA326506
SRR3710283,PRJNA326506
SRR3710284,PRJNA326506
SRR3710288,PRJNA326506
SRR3710289,PRJNA326506
SRR3710290,PRJNA326506
SRR3710295,PRJNA326506
SRR3710296,PRJNA326506
SRR3710297,PRJNA326506
SRR3710298,PRJNA326506
SRR3710300,PRJNA326506
SRR3710302,PRJNA326506
SRR3710305,PRJNA326506
SRR3710306,PRJNA326506
SRR26405656,PRJNA1027912
SRR26405655,PRJNA1027912
SRR26405654,PRJNA1027912
SRR26405650,PRJNA1027912
SRR26405649,PRJNA1027912
SRR26405648,PRJNA1027912
SRR12958770,PRJNA673613
SRR12958771,PRJNA673613
SRR24525367,PRJNA971919
SRR24525366,PRJNA971919
SRR24525365,PRJNA971919
SRR24525364,PRJNA971919
SRR24525363,PRJNA971919
SRR24525362,PRJNA971919
SRR25278330,PRJNA994860
SRR25278329,PRJNA994860
SRR25278324,PRJNA994860
SRR25278323,PRJNA994860
SRR25278322,PRJNA994860
SRR25278321,PRJNA994860
SRR25741028,PRJNA1008576
SRR25741027,PRJNA1008576
SRR25741026,PRJNA1008576
SRR25741025,PRJNA1008576
SRR28962289,PRJNA1008576
SRR28962288,PRJNA1008576
SRR28962287,PRJNA1008576
SRR28962286,PRJNA1008576
SRR28962280,PRJNA1008576
SRR28962283,PRJNA1008576
SRR28962279,PRJNA1008576
SRR28962278,PRJNA1008576
SRR28962277,PRJNA1008576
SRR28962276,PRJNA1008576
SRR26984490,PRJNA976655
SRR26984489,PRJNA976655
SRR26984488,PRJNA976655
SRR26984487,PRJNA976655
SRR26984486,PRJNA976655
SRR26984485,PRJNA976655
SRR26984484,PRJNA976655
SRR26984483,PRJNA976655
SRR25212115,PRJNA992629
SRR25212108,PRJNA992629
