Run,study_accession
SRR11945419,GSE151959
SRR11945420,GSE151959
SRR11945421,GSE151959
SRR11945422,GSE151959
SRR11945423,GSE151959
SRR11945424,GSE151959
SRR11945425,GSE151959
SRR11945426,GSE151959
SRR11945427,GSE151959
SRR11945428,GSE151959
SRR11945429,GSE151959
SRR11945430,GSE151959
SRR11945431,GSE151959
SRR11945432,GSE151959
ERR2098884,PRJEB21199
ERR2098885,PRJEB21199
ERR2098886,PRJEB21199
ERR2098887,PRJEB21199
ERR2098888,PRJEB21199
ERR2098889,PRJEB21199
ERR2098890,PRJEB21199
ERR2098891,PRJEB21199
ERR618775,PRJEB7301
ERR618772,PRJEB7301
ERR618771,PRJEB7301
ERR618770,PRJEB7301
SRR407274,PRJNA152495
SRR407275,PRJNA152495
SRR407276,PRJNA152495
SRR407277,PRJNA152495
SRR407282,PRJNA152495
SRR407283,PRJNA152495
SRR1301050,PRJNA219750
SRR1067765,PRJNA232843
SRR1067766,PRJNA232843
SRR1067767,PRJNA232843
SRR1067768,PRJNA232843
SRR1067769,PRJNA232843
SRR1067770,PRJNA232843
SRR1067771,PRJNA232843
SRR1067772,PRJNA232843
SRR1425203,PRJNA253056
SRR1425204,PRJNA253056
SRR1583082,PRJNA261698
SRR1583083,PRJNA261698
SRR1583084,PRJNA261698
SRR2016457,PRJNA283800
SRR2016459,PRJNA283800
SRR2016461,PRJNA283800
SRR2016463,PRJNA283800
SRR2016465,PRJNA283800
SRR2340141,PRJNA295296
SRR2340143,PRJNA295296
SRR2340144,PRJNA295296
SRR3147100,PRJNA311041
SRR5186136,PRJNA311041
SRR5186137,PRJNA311041
SRR5186138,PRJNA311041
SRR4421280,PRJNA348358
SRR4421281,PRJNA348358
SRR4421282,PRJNA348358
SRR4421283,PRJNA348358
SRR4421284,PRJNA348358
SRR4421285,PRJNA348358
SRR4421286,PRJNA348358
SRR4421287,PRJNA348358
SRR4421288,PRJNA348358
SRR4421289,PRJNA348358
SRR4421290,PRJNA348358
SRR4421291,PRJNA348358
SRR4421292,PRJNA348358
SRR4421293,PRJNA348358
SRR4421294,PRJNA348358
SRR4421295,PRJNA348358
SRR4421296,PRJNA348358
SRR4421299,PRJNA348358
SRR4421300,PRJNA348358
SRR5266618,PRJNA375739
SRR5266620,PRJNA375739
SRR6001737,PRJNA401857
SRR6001738,PRJNA401857
SRR6001739,PRJNA401857
SRR6001740,PRJNA401857
SRR6001741,PRJNA401857
SRR6001742,PRJNA401857
SRR6001743,PRJNA401857
SRR6001744,PRJNA401857
SRR6001745,PRJNA401857
SRR6001746,PRJNA401857
SRR6001747,PRJNA401857
SRR6001748,PRJNA401857
SRR6001749,PRJNA401857
SRR6001750,PRJNA401857
SRR6001751,PRJNA401857
SRR6001752,PRJNA401857
SRR6322030,PRJNA419768
SRR6322031,PRJNA419768
SRR6322032,PRJNA419768
SRR6656329,PRJNA432322
SRR6656330,PRJNA432322
SRR6656331,PRJNA432322
SRR6656332,PRJNA432322
SRR7119576,PRJNA459526
SRR7119574,PRJNA459526
SRR7119572,PRJNA459526
SRR7119570,PRJNA459526
SRR7119568,PRJNA459526
SRR7119566,PRJNA459526
SRR7119564,PRJNA459526
SRR7119562,PRJNA459526
SRR8413893,PRJNA489275
SRR8413894,PRJNA489275
SRR8413897,PRJNA489275
SRR8413898,PRJNA489275
SRR8239841,PRJNA506724
SRR8239842,PRJNA506724
SRR8239843,PRJNA506724
SRR8246561,PRJNA507085
SRR8246562,PRJNA507085
SRR9681161,PRJNA554579
SRR9681162,PRJNA554579
SRR9681163,PRJNA554579
SRR9681164,PRJNA554579
SRR9681165,PRJNA554579
SRR9681166,PRJNA554579
SRR9681167,PRJNA554579
SRR9681168,PRJNA554579
SRR9681169,PRJNA554579
SRR9681170,PRJNA554579
SRR9691451,PRJNA554781
SRR9691452,PRJNA554781
SRR9691453,PRJNA554781
SRR9691454,PRJNA554781
SRR9691455,PRJNA554781
SRR9691456,PRJNA554781
SRR9691457,PRJNA554781
SRR9691458,PRJNA554781
SRR9691459,PRJNA554781
SRR9691460,PRJNA554781
SRR9691461,PRJNA554781
SRR9691462,PRJNA554781
SRR9691463,PRJNA554781
SRR9691464,PRJNA554781
SRR9691465,PRJNA554781
