Run,study_accession
SRR14421803,PRJNA727298
SRR14421804,PRJNA727298
SRR14421805,PRJNA727298
SRR14421806,PRJNA727298
SRR14421807,PRJNA727298
SRR14421808,PRJNA727298
SRR14421809,PRJNA727298
SRR14421810,PRJNA727298
SRR14421811,PRJNA727298
SRR14421812,PRJNA727298
SRR14421813,PRJNA727298
SRR14421814,PRJNA727298
SRR14421815,PRJNA727298
SRR14421816,PRJNA727298
SRR14421817,PRJNA727298
SRR14421818,PRJNA727298
DRR277023,PRJDB11308
DRR277024,PRJDB11308
DRR277025,PRJDB11308
DRR277026,PRJDB11308
DRR277027,PRJDB11308
DRR277028,PRJDB11308
DRR277031,PRJDB11308
DRR277032,PRJDB11308
DRR277035,PRJDB11308
DRR277036,PRJDB11308
DRR277039,PRJDB11308
DRR277040,PRJDB11308
DRR277043,PRJDB11308
DRR277044,PRJDB11308
DRR277047,PRJDB11308
DRR277048,PRJDB11308
DRR277051,PRJDB11308
DRR277052,PRJDB11308
DRR277055,PRJDB11308
DRR277056,PRJDB11308
DRR277059,PRJDB11308
DRR277060,PRJDB11308
DRR277063,PRJDB11308
DRR277064,PRJDB11308
DRR277067,PRJDB11308
DRR277068,PRJDB11308
DRR277071,PRJDB11308
DRR277072,PRJDB11308
DRR277075,PRJDB11308
DRR277076,PRJDB11308
DRR277079,PRJDB11308
DRR277080,PRJDB11308
ERR3403465,PRJEB33244
ERR3403466,PRJEB33244
ERR3403469,PRJEB33244
ERR3403470,PRJEB33244
ERR3403473,PRJEB33244
ERR3403474,PRJEB33244
ERR3403477,PRJEB33244
ERR3403478,PRJEB33244
ERR3403481,PRJEB33244
ERR3403482,PRJEB33244
ERR3403485,PRJEB33244
ERR3403486,PRJEB33244
ERR3403489,PRJEB33244
ERR3403490,PRJEB33244
ERR3403493,PRJEB33244
ERR3403494,PRJEB33244
ERR3403497,PRJEB33244
ERR3403498,PRJEB33244
SRR13762817,PRJNA703954
SRR13762818,PRJNA703954
SRR13762819,PRJNA703954
SRR13762820,PRJNA703954
SRR13762821,PRJNA703954
SRR13762822,PRJNA703954
SRR13762823,PRJNA703954
SRR13762824,PRJNA703954
SRR13762825,PRJNA703954
SRR13762826,PRJNA703954
SRR13762827,PRJNA703954
SRR13762828,PRJNA703954
SRR13762829,PRJNA703954
SRR13762830,PRJNA703954
SRR13762831,PRJNA703954
SRR13762832,PRJNA703954
SRR13762833,PRJNA703954
SRR13762834,PRJNA703954
SRR13762835,PRJNA703954
SRR13762836,PRJNA703954
SRR13762837,PRJNA703954
SRR13762838,PRJNA703954
SRR13762839,PRJNA703954
SRR13762840,PRJNA703954
SRR13723996,PRJNA702160
SRR13723997,PRJNA702160
SRR13723998,PRJNA702160
SRR13723999,PRJNA702160
SRR13165891,PRJNA681523
SRR13165892,PRJNA681523
SRR13165893,PRJNA681523
SRR13165894,PRJNA681523
SRR13165895,PRJNA681523
SRR13165896,PRJNA681523
SRR12993026,PRJNA674837
SRR12993027,PRJNA674837
SRR12993028,PRJNA674837
SRR12993029,PRJNA674837
SRR12730631,PRJNA666167
SRR12730632,PRJNA666167
SRR12730633,PRJNA666167
SRR12730634,PRJNA666167
SRR12730635,PRJNA666167
SRR12730636,PRJNA666167
SRR12730637,PRJNA666167
SRR12730638,PRJNA666167
SRR12693492,PRJNA665035
SRR12693493,PRJNA665035
SRR12693494,PRJNA665035
SRR12693495,PRJNA665035
SRR12693496,PRJNA665035
SRR12693497,PRJNA665035
SRR12693498,PRJNA665035
SRR12693499,PRJNA665035
SRR12693500,PRJNA665035
SRR14667085,PRJNA665035
SRR14667086,PRJNA665035
SRR14667087,PRJNA665035
SRR14667088,PRJNA665035
SRR14667089,PRJNA665035
SRR14667090,PRJNA665035
SRR12651177,PRJNA663848
SRR12651178,PRJNA663848
SRR12651179,PRJNA663848
SRR12651180,PRJNA663848
SRR12651181,PRJNA663848
SRR12651182,PRJNA663848
SRR12651183,PRJNA663848
SRR12651184,PRJNA663848
SRR12651185,PRJNA663848
SRR12651186,PRJNA663848
SRR12651187,PRJNA663848
SRR12651188,PRJNA663848
SRR12651189,PRJNA663848
SRR12651190,PRJNA663848
SRR12651191,PRJNA663848
SRR12651192,PRJNA663848
SRR12651193,PRJNA663848
SRR12651194,PRJNA663848
SRR12651195,PRJNA663848
SRR12651196,PRJNA663848
SRR12651197,PRJNA663848
SRR12651198,PRJNA663848
SRR12651200,PRJNA663848
SRR12651201,PRJNA663848
SRR12651202,PRJNA663848
SRR12651203,PRJNA663848
SRR12651204,PRJNA663848
SRR12651205,PRJNA663848
SRR12651206,PRJNA663848
SRR12540267,PRJNA660002
SRR12540268,PRJNA660002
SRR12540269,PRJNA660002
SRR12540270,PRJNA660002
SRR12540271,PRJNA660002
SRR12540272,PRJNA660002
SRR12540273,PRJNA660002
SRR12540274,PRJNA660002
SRR12540275,PRJNA660002
SRR12540276,PRJNA660002
SRR12511458,PRJNA659066
SRR12511459,PRJNA659066
SRR12511460,PRJNA659066
SRR12511461,PRJNA659066
SRR12494970,PRJNA658654
SRR12494973,PRJNA658654
SRR12494974,PRJNA658654
SRR12494977,PRJNA658654
SRR12494978,PRJNA658654
SRR12494980,PRJNA658654
SRR12494988,PRJNA658654
SRR12391503,PRJNA655417
SRR12391506,PRJNA655417
SRR12391509,PRJNA655417
SRR12391512,PRJNA655417
SRR12391515,PRJNA655417
SRR12391518,PRJNA655417
SRR12391521,PRJNA655417
SRR12391524,PRJNA655417
SRR12391527,PRJNA655417
SRR12391530,PRJNA655417
SRR12391533,PRJNA655417
SRR12391536,PRJNA655417
SRR12285169,PRJNA647736
SRR12285170,PRJNA647736
SRR12285173,PRJNA647736
SRR12285174,PRJNA647736
SRR12285178,PRJNA647736
SRR12285179,PRJNA647736
SRR12285183,PRJNA647736
SRR12285184,PRJNA647736
SRR12285187,PRJNA647736
SRR12285188,PRJNA647736
SRR12285191,PRJNA647736
SRR12285192,PRJNA647736
SRR12122935,PRJNA643292
SRR12122936,PRJNA643292
SRR12021931,PRJNA639716
SRR12021932,PRJNA639716
SRR12021933,PRJNA639716
SRR12021934,PRJNA639716
SRR12021935,PRJNA639716
SRR11915236,PRJNA636959
SRR11915237,PRJNA636959
SRR11915238,PRJNA636959
SRR11915239,PRJNA636959
SRR11915240,PRJNA636959
SRR11915241,PRJNA636959
ERR2603016,PRJEB26593
ERR2603017,PRJEB26593
ERR2603018,PRJEB26593
SRR11825713,PRJNA634332
SRR11825714,PRJNA634332
SRR11825717,PRJNA634332
SRR11825718,PRJNA634332
SRR11825723,PRJNA634332
SRR11825724,PRJNA634332
SRR11825727,PRJNA634332
SRR11825728,PRJNA634332
SRR11794833,PRJNA633047
SRR11794841,PRJNA633047
SRR11794843,PRJNA633047
SRR11794849,PRJNA633047
SRR11780978,PRJNA632042
SRR11780979,PRJNA632042
SRR11780980,PRJNA632042
SRR11780981,PRJNA632042
SRR12216748,PRJNA630716
SRR12216749,PRJNA630716
SRR12216750,PRJNA630716
SRR12216751,PRJNA630716
SRR12216752,PRJNA630716
SRR12216753,PRJNA630716
SRR12216754,PRJNA630716
SRR11542141,PRJNA625261
SRR11542142,PRJNA625261
SRR11542143,PRJNA625261
SRR11542144,PRJNA625261
SRR11542145,PRJNA625261
SRR11542146,PRJNA625261
SRR11542147,PRJNA625261
SRR11542148,PRJNA625261
SRR11542149,PRJNA625261
SRR11542150,PRJNA625261
SRR11542151,PRJNA625261
SRR11542152,PRJNA625261
SRR11542153,PRJNA625261
SRR11542154,PRJNA625261
SRR11542155,PRJNA625261
SRR11542156,PRJNA625261
SRR11362448,PRJNA613736
SRR11362449,PRJNA613736
SRR11362450,PRJNA613736
SRR11362451,PRJNA613736
SRR11362452,PRJNA613736
SRR11362453,PRJNA613736
SRR11362454,PRJNA613736
SRR11362455,PRJNA613736
SRR11362456,PRJNA613736
SRR11362457,PRJNA613736
SRR11362458,PRJNA613736
SRR11362459,PRJNA613736
SRR11362460,PRJNA613736
SRR11362461,PRJNA613736
SRR11362462,PRJNA613736
SRR11362463,PRJNA613736
SRR11362464,PRJNA613736
SRR11362465,PRJNA613736
SRR11362466,PRJNA613736
SRR11362467,PRJNA613736
SRR11362468,PRJNA613736
SRR11362469,PRJNA613736
SRR11362470,PRJNA613736
SRR11362471,PRJNA613736
SRR11362472,PRJNA613736
SRR11362473,PRJNA613736
SRR10970363,PRJNA603339
SRR10970365,PRJNA603339
SRR10970367,PRJNA603339
SRR10970369,PRJNA603339
SRR10970371,PRJNA603339
SRR10970373,PRJNA603339
SRR10959087,PRJNA602917
SRR10959088,PRJNA602917
SRR10959089,PRJNA602917
SRR10959090,PRJNA602917
SRR10957150,PRJNA602876
SRR10957151,PRJNA602876
SRR10957152,PRJNA602876
SRR10957153,PRJNA602876
SRR10957154,PRJNA602876
SRR10957155,PRJNA602876
SRR10957156,PRJNA602876
SRR10957157,PRJNA602876
SRR10957158,PRJNA602876
SRR10883784,PRJNA601135
SRR10883785,PRJNA601135
SRR10883786,PRJNA601135
SRR10883787,PRJNA601135
SRR10883788,PRJNA601135
SRR10883789,PRJNA601135
SRR10883790,PRJNA601135
SRR10883791,PRJNA601135
SRR10883792,PRJNA601135
SRR10883793,PRJNA601135
SRR10883794,PRJNA601135
SRR10883795,PRJNA601135
SRR10883796,PRJNA601135
SRR10883797,PRJNA601135
SRR10883798,PRJNA601135
SRR10883799,PRJNA601135
SRR10850865,PRJNA599943
SRR10850866,PRJNA599943
SRR10850867,PRJNA599943
SRR10850868,PRJNA599943
SRR10850869,PRJNA599943
SRR10850870,PRJNA599943
SRR10850871,PRJNA599943
SRR10850872,PRJNA599943
SRR10850873,PRJNA599943
SRR10850874,PRJNA599943
SRR10850875,PRJNA599943
SRR10850876,PRJNA599943
SRR10846525,PRJNA599422
SRR10846526,PRJNA599422
SRR10846527,PRJNA599422
SRR10846528,PRJNA599422
SRR10846529,PRJNA599422
SRR10846530,PRJNA599422
SRR10846531,PRJNA599422
SRR10846532,PRJNA599422
SRR10846533,PRJNA599422
SRR10846534,PRJNA599422
SRR10846535,PRJNA599422
SRR10846536,PRJNA599422
SRR10846537,PRJNA599422
SRR10846538,PRJNA599422
SRR10846539,PRJNA599422
SRR10846540,PRJNA599422
SRR10846541,PRJNA599422
SRR11569080,PRJNA593553
SRR11569081,PRJNA593553
SRR11569082,PRJNA593553
SRR11569083,PRJNA593553
SRR10530116,PRJNA591625
SRR10530117,PRJNA591625
SRR10530118,PRJNA591625
SRR10530119,PRJNA591625
SRR10530120,PRJNA591625
SRR10530121,PRJNA591625
SRR10530122,PRJNA591625
SRR10530123,PRJNA591625
SRR10530124,PRJNA591625
SRR10530125,PRJNA591625
SRR10530126,PRJNA591625
SRR10530127,PRJNA591625
SRR10530128,PRJNA591625
SRR10530129,PRJNA591625
SRR10530130,PRJNA591625
SRR10530131,PRJNA591625
SRR10530132,PRJNA591625
SRR10530133,PRJNA591625
SRR10530134,PRJNA591625
SRR10530135,PRJNA591625
SRR10530136,PRJNA591625
SRR10530137,PRJNA591625
SRR10530138,PRJNA591625
SRR10530139,PRJNA591625
SRR10530140,PRJNA591625
SRR10530141,PRJNA591625
SRR10530142,PRJNA591625
SRR10530143,PRJNA591625
SRR10530144,PRJNA591625
SRR10530145,PRJNA591625
SRR10530146,PRJNA591625
SRR10530147,PRJNA591625
SRR10530148,PRJNA591625
SRR10530149,PRJNA591625
SRR10530150,PRJNA591625
SRR10530151,PRJNA591625
SRR10530152,PRJNA591625
SRR10530153,PRJNA591625
SRR10513626,PRJNA591214
SRR10513628,PRJNA591214
SRR10513630,PRJNA591214
SRR10513632,PRJNA591214
SRR10513634,PRJNA591214
SRR10513636,PRJNA591214
SRR10441364,PRJNA589466
SRR10441365,PRJNA589466
SRR10441366,PRJNA589466
SRR10441367,PRJNA589466
SRR10441368,PRJNA589466
SRR10441369,PRJNA589466
SRR10399043,PRJNA587516
SRR10399044,PRJNA587516
SRR10399045,PRJNA587516
SRR10399046,PRJNA587516
SRR10399047,PRJNA587516
