Run,study_accession
SRR5445272,PRJNA382718
SRR5445273,PRJNA382718
SRR5445274,PRJNA382718
SRR5445275,PRJNA382718
SRR5445276,PRJNA382718
SRR5445277,PRJNA382718
SRR9002961,PRJNA534111
SRR9002962,PRJNA534111
SRR9601985,PRJNA534111
SRR9601986,PRJNA534111
SRR13919659,PRJNA708348
SRR13919662,PRJNA708348
SRR13919665,PRJNA708348
SRR13919668,PRJNA708348
SRR15359330,PRJNA752584
SRR15359331,PRJNA752584
SRR15359332,PRJNA752584
SRR15359333,PRJNA752584
SRR15359334,PRJNA752584
SRR15359335,PRJNA752584
SRR15359336,PRJNA752584
SRR15359337,PRJNA752584
SRR15359338,PRJNA752584
SRR15359339,PRJNA752584
SRR15359340,PRJNA752584
SRR15359341,PRJNA752584
SRR15359342,PRJNA752584
SRR15359343,PRJNA752584
SRR15359344,PRJNA752584
SRR15359345,PRJNA752584
SRR15359346,PRJNA752584
SRR15359347,PRJNA752584
SRR15359348,PRJNA752584
SRR15359349,PRJNA752584
SRR15359350,PRJNA752584
SRR15359351,PRJNA752584
SRR15359352,PRJNA752584
SRR15359353,PRJNA752584
SRR15359354,PRJNA752584
SRR15359355,PRJNA752584
SRR15359356,PRJNA752584
SRR15359357,PRJNA752584
SRR15359358,PRJNA752584
SRR15359359,PRJNA752584
SRR15359360,PRJNA752584
SRR15359361,PRJNA752584
SRR15359362,PRJNA752584
SRR15359363,PRJNA752584
SRR15359364,PRJNA752584
SRR15359365,PRJNA752584
SRR15359366,PRJNA752584
SRR15359367,PRJNA752584
SRR15359368,PRJNA752584
SRR15359369,PRJNA752584
SRR15359370,PRJNA752584
SRR15359371,PRJNA752584
SRR15359372,PRJNA752584
SRR15359373,PRJNA752584
SRR15359374,PRJNA752584
SRR15359375,PRJNA752584
SRR15359376,PRJNA752584
SRR15359377,PRJNA752584
SRR15359378,PRJNA752584
SRR15359379,PRJNA752584
SRR15359380,PRJNA752584
SRR15359381,PRJNA752584
SRR15359382,PRJNA752584
SRR15359383,PRJNA752584
SRR15359384,PRJNA752584
SRR15359385,PRJNA752584
SRR15359386,PRJNA752584
SRR15359387,PRJNA752584
SRR15359388,PRJNA752584
SRR15359389,PRJNA752584
SRR15359390,PRJNA752584
SRR15359391,PRJNA752584
SRR15359392,PRJNA752584
SRR15359393,PRJNA752584
SRR15359394,PRJNA752584
SRR15359395,PRJNA752584
SRR15359396,PRJNA752584
SRR15359397,PRJNA752584
SRR15359398,PRJNA752584
SRR15359399,PRJNA752584
SRR15359400,PRJNA752584
SRR15359401,PRJNA752584
SRR15359402,PRJNA752584
SRR15359403,PRJNA752584
SRR15359404,PRJNA752584
SRR15359405,PRJNA752584
SRR15359406,PRJNA752584
SRR15359407,PRJNA752584
SRR15359408,PRJNA752584
SRR15359409,PRJNA752584
