Run,study_accession
SRR7252574,PRJNA474431
SRR7252575,PRJNA474431
SRR7252576,PRJNA474431
SRR7252577,PRJNA474431
SRR3199149,PRJNA314019
SRR3199150,PRJNA314019
SRR3199151,PRJNA314019
SRR3199152,PRJNA314019
SRR3199153,PRJNA314019
SRR3199154,PRJNA314019
SRR3199155,PRJNA314019
SRR3199156,PRJNA314019
SRR3199157,PRJNA314019
SRR3199158,PRJNA314019
SRR3199159,PRJNA314019
SRR3199160,PRJNA314019
SRR3199161,PRJNA314019
SRR3199162,PRJNA314019
SRR3199163,PRJNA314019
SRR3199164,PRJNA314019
SRR3199173,PRJNA314019
SRR3199174,PRJNA314019
SRR3199175,PRJNA314019
SRR3199176,PRJNA314019
SRR3199177,PRJNA314019
SRR3199178,PRJNA314019
SRR3199179,PRJNA314019
SRR3199180,PRJNA314019
SRR7252578,PRJNA474431
SRR7252579,PRJNA474431
SRR7252580,PRJNA474431
SRR7252581,PRJNA474431
