Run,study_accession
SRR5892473,PRJNA397035
SRR5892474,PRJNA397035
SRR5892475,PRJNA397035
SRR5892476,PRJNA397035
SRR8594313,PRJNA523300
SRR8594312,PRJNA523300
SRR8594311,PRJNA523300
SRR8594310,PRJNA523300
SRR8594309,PRJNA523300
SRR8594308,PRJNA523300
SRR8594299,PRJNA523300
SRR8594298,PRJNA523300
SRR11943814,PRJNA637713
SRR11943813,PRJNA637713
SRR11943812,PRJNA637713
SRR11943811,PRJNA637713
SRR11943809,PRJNA637713
SRR11943808,PRJNA637713
SRR11943807,PRJNA637713
SRR11943806,PRJNA637713
SRR13808103,PRJNA637713
SRR13808102,PRJNA637713
SRR13808101,PRJNA637713
SRR13808100,PRJNA637713
SRR13808078,PRJNA637713
SRR13808077,PRJNA637713
SRR13808076,PRJNA637713
SRR13808075,PRJNA637713
SRR13808074,PRJNA637713
SRR13808073,PRJNA637713
SRR13808072,PRJNA637713
SRR13808070,PRJNA637713
SRR13808069,PRJNA637713
SRR13808068,PRJNA637713
SRR13808067,PRJNA637713
SRR13808066,PRJNA637713
SRR13808065,PRJNA637713
SRR13808064,PRJNA637713
SRR13808060,PRJNA637713
SRR13808049,PRJNA637713
SRR13808038,PRJNA637713
SRR13808027,PRJNA637713
SRR13808021,PRJNA637713
SRR14340960,PRJNA725700
SRR14340959,PRJNA725700
SRR14340958,PRJNA725700
SRR14340957,PRJNA725700
SRR14340956,PRJNA725700
SRR14340955,PRJNA725700
SRR14340954,PRJNA725700
SRR14340953,PRJNA725700
SRR14340952,PRJNA725700
SRR14340951,PRJNA725700
SRR14340950,PRJNA725700
SRR14340949,PRJNA725700
SRR14340948,PRJNA725700
SRR14340947,PRJNA725700
SRR14340946,PRJNA725700
SRR14340945,PRJNA725700
SRR14340944,PRJNA725700
SRR14340943,PRJNA725700
SRR14340942,PRJNA725700
SRR18361001,PRJNA817730
SRR18361000,PRJNA817730
SRR18360997,PRJNA817730
SRR18360996,PRJNA817730
SRR18360995,PRJNA817730
SRR18360994,PRJNA817730
SRR21883628,PRJNA889923
SRR21883627,PRJNA889923
