Run,study_accession
ERR2201443,PRJEB23562
ERR2201445,PRJEB23562
ERR2201447,PRJEB23562
ERR2201448,PRJEB23562
ERR2201450,PRJEB23562
SRR1557705,PRJNA259424
SRR1557707,PRJNA259424
SRR1557709,PRJNA259424
SRR1557711,PRJNA259424
SRR1557713,PRJNA259424
SRR1557715,PRJNA259424
SRR1557717,PRJNA259424
SRR1557719,PRJNA259424
SRR1873532,PRJNA277771
SRR1873533,PRJNA277771
SRR1873534,PRJNA277771
SRR1873535,PRJNA277771
SRR1873536,PRJNA277771
SRR1873537,PRJNA277771
SRR1873538,PRJNA277771
SRR1873539,PRJNA277771
SRR1873540,PRJNA277771
SRR1873541,PRJNA277771
SRR1873542,PRJNA277771
SRR1873543,PRJNA277771
SRR1873544,PRJNA277771
SRR1873545,PRJNA277771
SRR1873546,PRJNA277771
SRR1873547,PRJNA277771
SRR7640002,PRJNA484227
SRR7640000,PRJNA484227
SRR8711056,PRJNA526538
SRR8711057,PRJNA526538
SRR8711058,PRJNA526538
SRR8711059,PRJNA526538
SRR8711060,PRJNA526538
SRR8711061,PRJNA526538
SRR8919681,PRJNA533159
SRR8919682,PRJNA533159
SRR8919683,PRJNA533159
SRR9596320,PRJNA550323
SRR9596310,PRJNA550323
SRR9596309,PRJNA550323
SRR9596307,PRJNA550323
SRR9596306,PRJNA550323
SRR9596305,PRJNA550323
SRR9596308,PRJNA550323
SRR9596304,PRJNA550323
SRR9596303,PRJNA550323
SRR9596302,PRJNA550323
SRR9596301,PRJNA550323
SRR9596299,PRJNA550323
SRR9596298,PRJNA550323
SRR9596297,PRJNA550323
SRR9596300,PRJNA550323
SRR9596296,PRJNA550323
SRR9596295,PRJNA550323
SRR9596294,PRJNA550323
SRR9596293,PRJNA550323
SRR9596286,PRJNA550323
SRR9596285,PRJNA550323
SRR11853192,PRJNA634994
SRR11853191,PRJNA634994
SRR11853190,PRJNA634994
SRR11853189,PRJNA634994
SRR11853188,PRJNA634994
SRR11853187,PRJNA634994
SRR11853186,PRJNA634994
SRR11853185,PRJNA634994
SRR11853184,PRJNA634994
SRR11853183,PRJNA634994
SRR11853182,PRJNA634994
SRR11853181,PRJNA634994
SRR11853180,PRJNA634994
SRR11853179,PRJNA634994
SRR11853170,PRJNA634994
SRR11853169,PRJNA634994
SRR11853168,PRJNA634994
SRR11853167,PRJNA634994
SRR11853163,PRJNA634994
SRR11853162,PRJNA634994
SRR11853161,PRJNA634994
SRR11853160,PRJNA634994
SRR11853159,PRJNA634994
SRR11853158,PRJNA634994
SRR12414240,PRJNA655955
SRR12414241,PRJNA655955
SRR12414242,PRJNA655955
SRR12414243,PRJNA655955
ERR653362,PRJEB7498
ERR653363,PRJEB7498
ERR653372,PRJEB7498
ERR653373,PRJEB7498
ERR653375,PRJEB7498
ERR653341,PRJEB7498
ERR653342,PRJEB7498
ERR653345,PRJEB7498
ERR653343,PRJEB7498
ERR653344,PRJEB7498
ERR653351,PRJEB7498
ERR653352,PRJEB7498
ERR653354,PRJEB7498
ERR653355,PRJEB7498
ERR653361,PRJEB7498
ERR653364,PRJEB7498
ERR653365,PRJEB7498
ERR653374,PRJEB7498
ERR653353,PRJEB7498
ERR653371,PRJEB7498
SRR6487257,PRJNA386439
SRR6487256,PRJNA386439
SRR6487255,PRJNA386439
SRR23354877,PRJNA931294
SRR23354876,PRJNA931294
SRR23354874,PRJNA931294
SRR23354873,PRJNA931294
SRR23354865,PRJNA931294
SRR23354859,PRJNA931294
SRR23354858,PRJNA931294
SRR23354854,PRJNA931294
SRR23354853,PRJNA931294
SRR23354875,PRJNA931294
ERR3367781,PRJEB29208
ERR3367782,PRJEB29208
ERR3367783,PRJEB29208
ERR3367784,PRJEB29208
ERR3367785,PRJEB29208
ERR3367786,PRJEB29208
ERR3367787,PRJEB29208
ERR3367788,PRJEB29208
ERR3367789,PRJEB29208
ERR3367790,PRJEB29208
