Run,study_accession
ERR1994961,PRJEB21099
ERR1994962,PRJEB21099
ERR1994965,PRJEB21099
ERR1994966,PRJEB21099
ERR1994969,PRJEB21099
ERR1994970,PRJEB21099
ERR1994973,PRJEB21099
ERR1994974,PRJEB21099
SRR5564114,GSE98934
SRR5564115,GSE98934
SRR5564116,GSE98934
SRR5564117,GSE98934
SRR5564118,GSE98934
SRR5564119,GSE98934
SRR5564120,GSE98934
SRR5564121,GSE98934
SRR5564122,GSE98934
SRR5564123,GSE98934
ERR392515,PRJEB5150
ERR392516,PRJEB5150
ERR392517,PRJEB5150
ERR392518,PRJEB5150
ERR392523,PRJEB5150
ERR392525,PRJEB5150
ERR392528,PRJEB5150
ERR414802,PRJEB5263
ERR414804,PRJEB5263
ERR414807,PRJEB5263
ERR3823822,PRJEB36274
ERR3823823,PRJEB36274
ERR3823824,PRJEB36274
ERR3823825,PRJEB36274
ERR3823826,PRJEB36274
ERR3823827,PRJEB36274
ERR3823828,PRJEB36274
ERR3823829,PRJEB36274
ERR3823830,PRJEB36274
ERR3823831,PRJEB36274
ERR3823832,PRJEB36274
ERR3823833,PRJEB36274
ERR3850905,PRJEB36473
ERR3850906,PRJEB36473
ERR3850907,PRJEB36473
ERR3850908,PRJEB36473
ERR3850909,PRJEB36473
ERR3850910,PRJEB36473
ERR3850911,PRJEB36473
ERR3850912,PRJEB36473
ERR3850913,PRJEB36473
ERR3850914,PRJEB36473
ERR3850915,PRJEB36473
ERR3850916,PRJEB36473
ERR2003520,PRJEB21224
ERR2003521,PRJEB21224
ERR2003524,PRJEB21224
ERR2003525,PRJEB21224
ERR2003528,PRJEB21224
ERR2003529,PRJEB21224
ERR2003535,PRJEB21224
ERR2003536,PRJEB21224
ERR2003537,PRJEB21224
ERR2003538,PRJEB21224
ERR2003539,PRJEB21224
ERR2003540,PRJEB21224
ERR2003543,PRJEB21224
ERR2003544,PRJEB21224
ERR2003550,PRJEB21224
ERR2003551,PRJEB21224
ERR2003552,PRJEB21224
ERR2003553,PRJEB21224
ERR2003554,PRJEB21224
ERR3765688,PRJEB35858
ERR3765689,PRJEB35858
ERR3765690,PRJEB35858
ERR3765691,PRJEB35858
ERR3765692,PRJEB35858
ERR3765693,PRJEB35858
ERR3765694,PRJEB35858
ERR3765695,PRJEB35858
ERR3765696,PRJEB35858
ERR3765697,PRJEB35858
ERR3765698,PRJEB35858
ERR3765699,PRJEB35858
ERR3850586,PRJEB36467
ERR3850587,PRJEB36467
ERR3850588,PRJEB36467
ERR3850589,PRJEB36467
ERR3850590,PRJEB36467
ERR3850591,PRJEB36467
ERR3850592,PRJEB36467
ERR3850593,PRJEB36467
ERR3850594,PRJEB36467
ERR3850595,PRJEB36467
ERR3850596,PRJEB36467
ERR3850597,PRJEB36467
ERR3850610,PRJEB36468
ERR3850611,PRJEB36468
ERR3850612,PRJEB36468
ERR3850613,PRJEB36468
ERR3850614,PRJEB36468
ERR3850615,PRJEB36468
ERR3850616,PRJEB36468
ERR3850617,PRJEB36468
ERR3850618,PRJEB36468
ERR3850619,PRJEB36468
ERR3850620,PRJEB36468
ERR3850621,PRJEB36468
ERR392088,PRJEB5136
ERR392085,PRJEB5136
ERR392086,PRJEB5136
ERR10323166,PRJEB56594
ERR10323167,PRJEB56594
ERR10323168,PRJEB56594
ERR10323169,PRJEB56594
ERR10323177,PRJEB56594
ERR10323178,PRJEB56594
ERR10323179,PRJEB56594
ERR10323180,PRJEB56594
ERR10323181,PRJEB56594
ERR10323182,PRJEB56594
ERR10323186,PRJEB56594
ERR10323187,PRJEB56594
ERR10323188,PRJEB56594
ERR10323191,PRJEB56594
ERR10323192,PRJEB56594
ERR10323193,PRJEB56594
ERR10323194,PRJEB56594
ERR10323201,PRJEB56594
ERR10323202,PRJEB56594
ERR10323203,PRJEB56594
ERR10323204,PRJEB56594
ERR10323205,PRJEB56594
ERR10323206,PRJEB56594
ERR10323210,PRJEB56594
ERR10323211,PRJEB56594
ERR10323212,PRJEB56594
SRR6826892,PRJNA437439
SRR6826890,PRJNA437439
SRR6826887,PRJNA437439
SRR6826885,PRJNA437439
SRR6826883,PRJNA437439
SRR6826881,PRJNA437439
SRR6826880,PRJNA437439
SRR6826879,PRJNA437439
SRR10072586,PRJNA564089
SRR10072587,PRJNA564089
