Run,study_accession
SRR12316448,PRJNA648316
SRR12316449,PRJNA648316
SRR12316450,PRJNA648316
SRR12316451,PRJNA648316
SRR12316452,PRJNA648316
SRR12316441,PRJNA648316
SRR11791220,PRJNA632889
SRR11791221,PRJNA632889
SRR27779109,PRJNA1070982
SRR27779108,PRJNA1070982
SRR13858939,PRJNA706704
SRR13858941,PRJNA706704
SRR13858943,PRJNA706704
SRR13858945,PRJNA706704
SRR13858946,PRJNA706704
SRR1265836,PRJNA245830
SRR1265837,PRJNA245830
SRR1265839,PRJNA245830
SRR1265840,PRJNA245830
SRR1265842,PRJNA245830
SRR1265843,PRJNA245830
SRR1265846,PRJNA245830
SRR1265847,PRJNA245830
SRR1265848,PRJNA245830
SRR2733429,PRJNA299306
SRR2733430,PRJNA299306
SRR2733431,PRJNA299306
SRR2733432,PRJNA299306
SRR2733433,PRJNA299306
SRR2733434,PRJNA299306
SRR2733435,PRJNA299306
SRR2733436,PRJNA299306
SRR2733445,PRJNA299306
SRR2733446,PRJNA299306
SRR2733447,PRJNA299306
SRR2733448,PRJNA299306
SRR2733449,PRJNA299306
SRR2733450,PRJNA299306
SRR2733451,PRJNA299306
SRR2733452,PRJNA299306
SRR2733460,PRJNA299306
SRR2733461,PRJNA299306
SRR2733462,PRJNA299306
SRR2733463,PRJNA299306
SRR2733464,PRJNA299306
SRR2733465,PRJNA299306
SRR2733471,PRJNA299306
SRR2733472,PRJNA299306
SRR2733473,PRJNA299306
SRR2733474,PRJNA299306
SRR2733475,PRJNA299306
SRR2733476,PRJNA299306
SRR33858405,PRJNA1273095
SRR33858404,PRJNA1273095
SRR33858403,PRJNA1273095
SRR33858402,PRJNA1273095
SRR33858401,PRJNA1273095
SRR33858400,PRJNA1273095
SRR33858399,PRJNA1273095
SRR33858398,PRJNA1273095
