Run,study_accession
ERR3949729,PRJEB36893
ERR3949730,PRJEB36893
ERR3949731,PRJEB36893
ERR3949732,PRJEB36893
ERR3949734,PRJEB36893
ERR3949735,PRJEB36893
ERR3949753,PRJEB36893
ERR3949754,PRJEB36893
ERR3949755,PRJEB36893
ERR3949756,PRJEB36893
ERR3949759,PRJEB36893
ERR3949760,PRJEB36893
ERR3949804,PRJEB36893
ERR3949805,PRJEB36893
ERR3949806,PRJEB36893
ERR3949807,PRJEB36893
ERR3949808,PRJEB36893
ERR3949809,PRJEB36893
ERR3949810,PRJEB36893
ERR3949811,PRJEB36893
SRR7698526,PRJNA486172
SRR7698527,PRJNA486172
SRR7698528,PRJNA486172
SRR7698529,PRJNA486172
SRR7698530,PRJNA486172
SRR7698531,PRJNA486172
SRR7698532,PRJNA486172
SRR7698533,PRJNA486172
