Run,study_accession
ERR3949769,PRJEB36893
ERR3949770,PRJEB36893
ERR3949771,PRJEB36893
ERR3949772,PRJEB36893
ERR3949773,PRJEB36893
ERR3949774,PRJEB36893
ERR3949775,PRJEB36893
ERR3949776,PRJEB36893
ERR3949844,PRJEB36893
ERR3949845,PRJEB36893
ERR3949846,PRJEB36893
ERR3949847,PRJEB36893
ERR3949848,PRJEB36893
ERR3949849,PRJEB36893
ERR3949850,PRJEB36893
ERR3949851,PRJEB36893
SRR5443325,PRJNA382534
SRR5443326,PRJNA382534
SRR5443327,PRJNA382534
SRR5443328,PRJNA382534
SRR5443329,PRJNA382534
SRR5443330,PRJNA382534
SRR5443331,PRJNA382534
SRR5443332,PRJNA382534
