Run,study_accession
ERR2736130,PRJEB28203
ERR2736131,PRJEB28203
ERR2736132,PRJEB28203
ERR2736133,PRJEB28203
ERR2736134,PRJEB28203
ERR5211760,PRJEB42778
ERR5211761,PRJEB42778
ERR5211762,PRJEB42778
ERR5211763,PRJEB42778
ERR5211764,PRJEB42778
ERR5211765,PRJEB42778
ERR5211766,PRJEB42778
ERR5211767,PRJEB42778
ERR5211768,PRJEB42778
ERR5211769,PRJEB42778
ERR5211770,PRJEB42778
SRR12763773,PRJNA666973
SRR12763772,PRJNA666973
SRR12763765,PRJNA666973
SRR12763764,PRJNA666973
SRR12763763,PRJNA666973
SRR12763762,PRJNA666973
