Run,study_accession
ERR391719,PRJEB4801
ERR391720,PRJEB4801
ERR391722,PRJEB4801
ERR391723,PRJEB4801
SRR1272130,PRJNA246300
SRR1272131,PRJNA246300
SRR1272132,PRJNA246300
SRR1272133,PRJNA246300
SRR1272134,PRJNA246300
SRR1272135,PRJNA246300
SRR1272136,PRJNA246300
SRR1272137,PRJNA246300
SRR1272138,PRJNA246300
SRR2188086,PRJNA294100
SRR2188087,PRJNA294100
SRR2188088,PRJNA294100
SRR2188089,PRJNA294100
SRR2188090,PRJNA294100
SRR2188091,PRJNA294100
SRR2188092,PRJNA294100
SRR2188093,PRJNA294100
SRR2188094,PRJNA294100
