Run,study_accession
SRR12765229,PRJNA667075
SRR12765228,PRJNA667075
SRR12765227,PRJNA667075
SRR12765226,PRJNA667075
SRR12765225,PRJNA667075
SRR12765224,PRJNA667075
SRR12765223,PRJNA667075
SRR12765222,PRJNA667075
SRR12765221,PRJNA667075
SRR12765220,PRJNA667075
SRR12765219,PRJNA667075
SRR12765218,PRJNA667075
SRR12765217,PRJNA667075
SRR12765216,PRJNA667075
SRR12765215,PRJNA667075
SRR12765214,PRJNA667075
SRR12765213,PRJNA667075
SRR12765212,PRJNA667075
SRR12765211,PRJNA667075
SRR12765210,PRJNA667075
SRR12765209,PRJNA667075
SRR12765208,PRJNA667075
SRR12765207,PRJNA667075
SRR12765206,PRJNA667075
SRR12765195,PRJNA667075
SRR12765184,PRJNA667075
SRR12765173,PRJNA667075
SRR12765172,PRJNA667075
SRR12765171,PRJNA667075
SRR12765170,PRJNA667075
SRR8839732,PRJNA530618
SRR8839731,PRJNA530618
SRR11944058,PRJNA637713
SRR11944057,PRJNA637713
SRR11944056,PRJNA637713
SRR11944055,PRJNA637713
SRR11944054,PRJNA637713
SRR11944053,PRJNA637713
SRR11944052,PRJNA637713
SRR11944051,PRJNA637713
SRR11944050,PRJNA637713
SRR11944049,PRJNA637713
SRR11944047,PRJNA637713
SRR11944046,PRJNA637713
SRR11944045,PRJNA637713
SRR11944044,PRJNA637713
SRR11944043,PRJNA637713
SRR11944042,PRJNA637713
SRR11944041,PRJNA637713
SRR11944040,PRJNA637713
SRR11944039,PRJNA637713
SRR11944038,PRJNA637713
SRR11944037,PRJNA637713
SRR11944036,PRJNA637713
SRR11944035,PRJNA637713
SRR11944034,PRJNA637713
SRR11944033,PRJNA637713
SRR11944032,PRJNA637713
SRR11944031,PRJNA637713
SRR11944030,PRJNA637713
SRR11944029,PRJNA637713
SRR11944028,PRJNA637713
SRR11944027,PRJNA637713
SRR11944026,PRJNA637713
SRR11944025,PRJNA637713
SRR11944024,PRJNA637713
SRR11944023,PRJNA637713
SRR11944022,PRJNA637713
SRR11944021,PRJNA637713
SRR11944020,PRJNA637713
SRR11944019,PRJNA637713
SRR11944018,PRJNA637713
SRR11944017,PRJNA637713
SRR11944016,PRJNA637713
SRR11944015,PRJNA637713
SRR11944014,PRJNA637713
SRR11944013,PRJNA637713
SRR11944012,PRJNA637713
SRR11944011,PRJNA637713
SRR11944010,PRJNA637713
SRR11944009,PRJNA637713
SRR11944008,PRJNA637713
SRR11944007,PRJNA637713
SRR11944006,PRJNA637713
SRR11944005,PRJNA637713
SRR11944004,PRJNA637713
SRR11944003,PRJNA637713
SRR11944002,PRJNA637713
SRR11944001,PRJNA637713
SRR11944000,PRJNA637713
SRR11943999,PRJNA637713
SRR11943998,PRJNA637713
SRR11943997,PRJNA637713
SRR11943996,PRJNA637713
SRR11943995,PRJNA637713
SRR11943994,PRJNA637713
SRR11943993,PRJNA637713
SRR11943992,PRJNA637713
SRR11943991,PRJNA637713
SRR11943990,PRJNA637713
SRR11943989,PRJNA637713
SRR11943988,PRJNA637713
SRR11943987,PRJNA637713
SRR11943986,PRJNA637713
SRR11943985,PRJNA637713
SRR11943984,PRJNA637713
SRR11943983,PRJNA637713
SRR11943982,PRJNA637713
SRR11943981,PRJNA637713
SRR11943980,PRJNA637713
SRR11943979,PRJNA637713
SRR11943978,PRJNA637713
SRR11943977,PRJNA637713
SRR11943976,PRJNA637713
SRR11943975,PRJNA637713
SRR11943974,PRJNA637713
SRR11943973,PRJNA637713
SRR11943972,PRJNA637713
SRR11943971,PRJNA637713
SRR11943970,PRJNA637713
SRR11943969,PRJNA637713
SRR11943968,PRJNA637713
SRR11943967,PRJNA637713
SRR11943966,PRJNA637713
SRR11943965,PRJNA637713
SRR11943964,PRJNA637713
SRR11943963,PRJNA637713
SRR11943962,PRJNA637713
SRR11943961,PRJNA637713
SRR11943960,PRJNA637713
SRR11943959,PRJNA637713
SRR11943958,PRJNA637713
SRR11943957,PRJNA637713
SRR11943956,PRJNA637713
SRR11943955,PRJNA637713
SRR11943954,PRJNA637713
SRR11943953,PRJNA637713
SRR11943952,PRJNA637713
SRR11943951,PRJNA637713
SRR11943950,PRJNA637713
SRR11943948,PRJNA637713
SRR11943947,PRJNA637713
SRR11943946,PRJNA637713
SRR11943945,PRJNA637713
SRR11943944,PRJNA637713
SRR11943943,PRJNA637713
SRR11943942,PRJNA637713
SRR11943941,PRJNA637713
SRR11943940,PRJNA637713
SRR11943939,PRJNA637713
SRR11943938,PRJNA637713
SRR11943937,PRJNA637713
SRR11943936,PRJNA637713
SRR11943935,PRJNA637713
SRR11943934,PRJNA637713
SRR11943933,PRJNA637713
SRR11943932,PRJNA637713
SRR11943931,PRJNA637713
SRR11943930,PRJNA637713
SRR11943929,PRJNA637713
SRR11943928,PRJNA637713
SRR11943927,PRJNA637713
SRR11943926,PRJNA637713
SRR11943925,PRJNA637713
SRR11943924,PRJNA637713
SRR11943923,PRJNA637713
SRR11943922,PRJNA637713
SRR11943921,PRJNA637713
SRR11943920,PRJNA637713
SRR11943919,PRJNA637713
SRR11943918,PRJNA637713
SRR11943917,PRJNA637713
SRR11943916,PRJNA637713
SRR11943915,PRJNA637713
SRR11943914,PRJNA637713
SRR11943913,PRJNA637713
SRR11943912,PRJNA637713
SRR11943911,PRJNA637713
SRR11943910,PRJNA637713
SRR11943909,PRJNA637713
SRR11943908,PRJNA637713
SRR11943907,PRJNA637713
SRR11943906,PRJNA637713
SRR11943905,PRJNA637713
SRR11943904,PRJNA637713
SRR11943903,PRJNA637713
SRR11943902,PRJNA637713
SRR11943901,PRJNA637713
SRR11943900,PRJNA637713
SRR11943899,PRJNA637713
SRR11943898,PRJNA637713
SRR11943897,PRJNA637713
SRR11943896,PRJNA637713
SRR11943895,PRJNA637713
SRR11943894,PRJNA637713
SRR11943893,PRJNA637713
SRR11943892,PRJNA637713
SRR11943891,PRJNA637713
SRR11943890,PRJNA637713
SRR11943889,PRJNA637713
SRR11943888,PRJNA637713
SRR11943887,PRJNA637713
SRR11943886,PRJNA637713
SRR11943885,PRJNA637713
SRR11943884,PRJNA637713
SRR11943883,PRJNA637713
SRR11943882,PRJNA637713
SRR11943881,PRJNA637713
SRR11943880,PRJNA637713
SRR11943879,PRJNA637713
SRR11943878,PRJNA637713
SRR11943877,PRJNA637713
SRR11943876,PRJNA637713
SRR11943875,PRJNA637713
SRR11943874,PRJNA637713
SRR11943873,PRJNA637713
SRR11943872,PRJNA637713
SRR11943871,PRJNA637713
SRR11943870,PRJNA637713
SRR11943869,PRJNA637713
SRR11943868,PRJNA637713
SRR11943867,PRJNA637713
SRR11943866,PRJNA637713
SRR11943865,PRJNA637713
SRR11943864,PRJNA637713
SRR11943863,PRJNA637713
SRR11943862,PRJNA637713
SRR11943861,PRJNA637713
SRR11943860,PRJNA637713
SRR11943859,PRJNA637713
SRR11943858,PRJNA637713
SRR11943857,PRJNA637713
SRR11943856,PRJNA637713
SRR11943855,PRJNA637713
SRR11943854,PRJNA637713
SRR11943853,PRJNA637713
SRR11943852,PRJNA637713
SRR11943851,PRJNA637713
SRR11943850,PRJNA637713
SRR11943849,PRJNA637713
SRR11943848,PRJNA637713
SRR11943847,PRJNA637713
SRR11943846,PRJNA637713
SRR11943845,PRJNA637713
SRR11943844,PRJNA637713
SRR11943843,PRJNA637713
SRR11943842,PRJNA637713
SRR11943841,PRJNA637713
SRR11943840,PRJNA637713
SRR11943839,PRJNA637713
SRR11943837,PRJNA637713
