Run,study_accession
SRR10400989,PRJNA587699
SRR10400990,PRJNA587699
SRR10400991,PRJNA587699
SRR10400992,PRJNA587699
SRR10400993,PRJNA587699
SRR10400994,PRJNA587699
SRR10400995,PRJNA587699
SRR10400996,PRJNA587699
SRR10400997,PRJNA587699
SRR10400998,PRJNA587699
SRR10400999,PRJNA587699
SRR10401000,PRJNA587699
SRR10401001,PRJNA587699
SRR10401002,PRJNA587699
SRR10401003,PRJNA587699
SRR10401004,PRJNA587699
SRR10401005,PRJNA587699
SRR10401006,PRJNA587699
SRR10401007,PRJNA587699
SRR10401008,PRJNA587699
SRR10401009,PRJNA587699
SRR10401010,PRJNA587699
SRR10401011,PRJNA587699
SRR10401012,PRJNA587699
SRR10401013,PRJNA587699
SRR10401014,PRJNA587699
SRR10401015,PRJNA587699
SRR10401016,PRJNA587699
SRR10401017,PRJNA587699
SRR10401018,PRJNA587699
SRR10401019,PRJNA587699
SRR10401020,PRJNA587699
SRR10401021,PRJNA587699
SRR10401022,PRJNA587699
SRR10401023,PRJNA587699
SRR10401024,PRJNA587699
SRR10401025,PRJNA587699
SRR10401026,PRJNA587699
SRR10401027,PRJNA587699
SRR10401028,PRJNA587699
SRR10401029,PRJNA587699
SRR10401030,PRJNA587699
SRR10401031,PRJNA587699
SRR10401032,PRJNA587699
SRR10401033,PRJNA587699
SRR10401034,PRJNA587699
SRR10401035,PRJNA587699
SRR10401036,PRJNA587699
SRR10401037,PRJNA587699
SRR10401038,PRJNA587699
SRR10401039,PRJNA587699
SRR10401040,PRJNA587699
SRR10401041,PRJNA587699
SRR10401042,PRJNA587699
SRR10401043,PRJNA587699
SRR10401044,PRJNA587699
SRR10401045,PRJNA587699
SRR10401046,PRJNA587699
SRR10401047,PRJNA587699
SRR10401048,PRJNA587699
