species	slug	runs	studies	taxids	top_inhibitors	sample_sheet	config_status	config	beta_species_dir	beta_assembly	beta_provider	beta_geneset_date	genome_fasta_url	gtf_url	reference_choice_note
Homo sapiens	homo_sapiens	4135	402	9606:4135	chx:2857;NA:840;frozen:239;harr:74;chx_harr:48;ltm:24;tig_chl:20;chl:10	sample_sheets/homo_sapiens_samplesheet.csv	beta_url_config	configs/homo_sapiens_beta_params.config	Homo_sapiens	GCA_000001405.29	ensembl	2026_04	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Homo_sapiens/GCA_000001405.29/genome/unmasked.fa.gz	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Homo_sapiens/GCA_000001405.29/ensembl/geneset/2026_04/genes.gtf.gz	GRCh38.p14 reference assembly
Mus musculus	mus_musculus	3684	232	10090:3684	NA:1951;chx:1456;frozen:172;harr:83;phenol-chloroform:12;lactim:4;emet:3;emetine:1	sample_sheets/mus_musculus_samplesheet.csv	beta_url_config	configs/mus_musculus_beta_params.config	Mus_musculus	GCA_000001635.9	ensembl	2026_04	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Mus_musculus/GCA_000001635.9/genome/unmasked.fa.gz	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Mus_musculus/GCA_000001635.9/ensembl/geneset/2026_04/genes.gtf.gz	GRCm39 reference assembly
Saccharomyces cerevisiae	saccharomyces_cerevisiae	1888	130	4932:1737;1247190:99;658763:32;580240:18;595493:2	NA:950;chx:631;frozen:262;puro:15;ltm:10;chx_tig:5;tunicamycin:4;aniso:3	sample_sheets/saccharomyces_cerevisiae_samplesheet.csv	beta_url_config	configs/saccharomyces_cerevisiae_beta_params.config	Saccharomyces_cerevisiae_S288c	GCA_000146045.2	community	2018_10	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Saccharomyces_cerevisiae_S288c/GCA_000146045.2/genome/unmasked.fa.gz	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Saccharomyces_cerevisiae_S288c/GCA_000146045.2/community/geneset/2018_10/genes.gtf.gz	S288C reference strain
Escherichia coli	escherichia_coli	730	46	562:559;511145:83;316407:32;679895:26;83333:15;511693:6;1403831:5;155864:2;591946:2	NA:652;chloram:36;frozen:24;chx:16;chl:2	sample_sheets/escherichia_coli_samplesheet.csv	beta_url_config	configs/escherichia_coli_beta_params.config	Escherichia_coli_str_k_12_substr_mg1655	GCA_000005845.2	community	2018_09	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Escherichia_coli_str_k_12_substr_mg1655/GCA_000005845.2/genome/unmasked.fa.gz	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Escherichia_coli_str_k_12_substr_mg1655/GCA_000005845.2/community/geneset/2018_09/genes.gtf.gz	K-12 MG1655 reference strain
Danio rerio	danio_rerio	567	9	7955:567	chx:521;NA:46	sample_sheets/danio_rerio_samplesheet.csv	beta_url_config	configs/danio_rerio_beta_params.config	Danio_rerio	GCA_000002035.4	ensembl	2018_04	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Danio_rerio/GCA_000002035.4/genome/unmasked.fa.gz	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Danio_rerio/GCA_000002035.4/ensembl/geneset/2018_04/genes.gtf.gz	GRCz11 reference assembly; newer strain assemblies exist but are not the standard reference
Zea mays	zea_mays	371	7	4577:371	NA:371	sample_sheets/zea_mays_samplesheet.csv	beta_url_config	configs/zea_mays_beta_params.config	Zea_mays	GCA_902167145.1	community	2019_12	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Zea_mays/GCA_902167145.1/genome/unmasked.fa.gz	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Zea_mays/GCA_902167145.1/community/geneset/2019_12/genes.gtf.gz	maize reference exposed by Ensembl Beta
Arabidopsis thaliana	arabidopsis_thaliana	298	33	3702:284;3701:14	NA:246;chx:45;chl:6;lactim:1	sample_sheets/arabidopsis_thaliana_samplesheet.csv	beta_url_config	configs/arabidopsis_thaliana_beta_params.config	Arabidopsis_thaliana	GCA_933208065.1	ensembl	2026_05	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Arabidopsis_thaliana/GCA_933208065.1/genome/unmasked.fa.gz	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Arabidopsis_thaliana/GCA_933208065.1/ensembl/geneset/2026_05/genes.gtf.gz	newest Arabidopsis Beta assembly/geneset
Caenorhabditis elegans	caenorhabditis_elegans	250	17	6239:250	NA:243;frozen:7	sample_sheets/caenorhabditis_elegans_samplesheet.csv	beta_url_config	configs/caenorhabditis_elegans_beta_params.config	Caenorhabditis_elegans	GCA_000002985.3	wormbase	2014_10	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Caenorhabditis_elegans/GCA_000002985.3/genome/unmasked.fa.gz	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Caenorhabditis_elegans/GCA_000002985.3/wormbase/geneset/2014_10/genes.gtf.gz	WormBase C. elegans reference
Drosophila melanogaster	drosophila_melanogaster	157	20	7227:157	NA:114;chx:35;frozen:6;chl:2	sample_sheets/drosophila_melanogaster_samplesheet.csv	beta_url_config	configs/drosophila_melanogaster_beta_params.config	Drosophila_melanogaster	GCA_000001215.4	flybase	2022_07	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Drosophila_melanogaster/GCA_000001215.4/genome/unmasked.fa.gz	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Drosophila_melanogaster/GCA_000001215.4/flybase/geneset/2022_07/genes.gtf.gz	FlyBase D. melanogaster reference
Schizosaccharomyces pombe	schizosaccharomyces_pombe	146	14	4896:120;284812:26	NA:132;chx:10;frozen:4	sample_sheets/schizosaccharomyces_pombe_samplesheet.csv	beta_mapping_failed								972h- reference strain; ERROR: no complete FASTA + genes.gtf.gz record found; assemblies=['GCA_000002945.2']
