hg38	Human
panTro4	Chimp
gorGor3	Gorilla
ponAbe2	Orangutan
nomLeu3	Gibbon
rheMac3	Rhesus
macFas5	Crab_eating_macaque
papAnu2	Baboon
chlSab2	Green_monkey
calJac3	Marmoset
saiBol1	Squirrel_monkey
otoGar3	Bushbaby
tupChi1	Chinese_tree_shrew
speTri2	Squirrel
jacJac1	Lesser_Egyptian_jerboa
micOch1	Prairie_vole
criGri1	Chinese_hamster
mesAur1	Golden_hamster
mm10	Mouse
rn6	Rat
hetGla2	Naked_mole_rat
cavPor3	Guinea_pig
chiLan1	Chinchilla
octDeg1	Brush_tailed_rat
oryCun2	Rabbit
ochPri3	Pika
susScr3	Pig
vicPac2	Alpaca
camFer1	Wild_bactrian_camel
turTru2	Dolphin
orcOrc1	Killer_whale
panHod1	Tibetan_antelope
bosTau8	Cow
oviAri3	Sheep
capHir1	Domestic_goat
equCab2	Horse
cerSim1	White_rhinoceros
felCat8	Cat
canFam3	Dog
musFur1	Ferret
ailMel1	Panda
odoRosDiv1	Pacific_walrus
lepWed1	Weddell_seal
pteAle1	Black_flying_fox
pteVam1	Megabat
eptFus1	Big_brown_bat
myoDav1	David's_myotis
myoLuc2	Microbat
eriEur2	Hedgehog
sorAra2	Shrew
conCri1	Star-nosed_mole
loxAfr3	Elephant
eleEdw1	Cape_elephant_shrew
triMan1	Manatee
chrAsi1	Cape_golden_mole
echTel2	Tenrec
oryAfe1	Aardvark
dasNov3	Armadillo
