"Scientific name","New","Common name","Clade","Taxon ID","Assembly name","Accession","Genome size (bps)","Annotation provider","Annotation method","Annotation","Genome","Homology","RNA Seq"
"Abramis brama","","Common bream (Europe)","Fish","38527","ASM2282908v1","GCA_022829085.1","1067412961","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV","BAM"
"Abrostola tripartita","","Moths","Lepidoptera","938171","ilAbrTrip1.1","GCA_905340225.1","381042155","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Abrostola tripartita","","Moths (alternate haplotype)","Lepidoptera","938171","ilAbrTrip1.1_alternate_haplotype","GCA_905340255.1","377898841","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Abrostola triplasia","","Dark spectacle","Lepidoptera","254365","ilAbrTril1.1","GCA_946251915.1","362707411","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Abrostola triplasia","","Dark spectacle (alternate haplotype)","Lepidoptera","254365","ilAbrTril1.1_alternate_haplotype","GCA_946251925.1","360541132","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Acanthaster planci","","Crown-of-thorns starfish","Metazoa","133434","OKI_Apl_1.0","GCA_001949145.1","383860178","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Acanthopagrus latus","","Yellowfin seabream","Fish","8177","fAcaLat1.1","GCA_904848185.1","685144197","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV","BAM"
"Acanthosoma haemorrhoidale","","Bugs","Hemiptera","483950","ihAcaHaem1.1","GCA_930367205.1","865603386","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Accipiter gentilis","","Northern goshawk","Birds","8957","Agentilis_1.0","GCA_012487025.1","1179252740","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV","BAM"
"Acentria ephemerella","","Moths (alternate haplotype)","Lepidoptera","1666818","ilAceEphe1.1_alternate_haplotype","GCA_943193655.1","336121962","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Acentria ephemerella","","Moths","Lepidoptera","1666818","ilAceEphe1.1","GCA_943193645.1","340777416","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Achlya flavicornis","","Moths","Lepidoptera","753485","ilAchFlav2.1","GCA_947623365.1","444558171","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Acipenser ruthenus","","Sterlet","Fish","7906","fAciRut3.1_paternal_haplotype","GCA_902713435.1","1663896406","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Acipenser ruthenus","","Sterlet","Fish","7906","fAciRut3.2_paternal_haplotype","GCA_902713435.2","1882648115","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Acleris cristana","","Moths","Lepidoptera","758705","ilAclCris2.1","GCA_948252455.1","562556046","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Acleris emargana","","Moths","Lepidoptera","758706","ilAclEmar1.2","GCA_927399475.2","691431929","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Acleris emargana","","Moths (alternate haplotype)","Lepidoptera","758706","ilAclEmar1.1_alternate_haplotype","GCA_927399445.1","669046345","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Acleris emargana","","Moths","Lepidoptera","758706","ilAclEmar1.1","GCA_927399475.1","691431929","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Acleris literana","","Moths","Lepidoptera","1100899","ilAclLite1.1","GCA_946894065.1","674873004","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Acleris literana","","Moths (alternate haplotype)","Lepidoptera","1100899","ilAclLite1.1_alternate_haplotype","GCA_946894075.1","675217176","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Acleris sparsana","","Moths (alternate haplotype)","Lepidoptera","758717","ilAclSpar1.1_alternate_haplotype","GCA_923061745.1","578581586","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Acleris sparsana","","Moths","Lepidoptera","758717","ilAclSpar1.1","GCA_923062465.1","589529688","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Acomys cahirinus","","Egyptian spiny mouse","Rodents & lagomorphs","10068","ASM2989020v1","GCA_029890205.1","2270862523","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Acomys cahirinus","","Egyptian spiny mouse","Rodents & lagomorphs","10068","AcoCah_v1_BIUU","GCA_004027535.1","2306070819","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV","BAM"
"Acomys dimidiatus","","Eastern spiny mouse","Rodents & lagomorphs","60744","mAcoDim1_REL_1905","GCA_907164435.1","2302401611","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV","BAM"
"Acomys russatus","","Golden spiny mouse","Rodents & lagomorphs","60746","mAcoRus1.1","GCA_903995435.1","2301522284","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV","BAM"
"Acridotheres tristis","","Common myna","Birds","279927","bAcrTri1.pri","GCA_027559615.1","1193417213","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Acrobasis consociella","NEW","Moths","Lepidoptera","1100900","ilAcrCons1.1","GCA_963555685.1","598393298","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Acrobasis repandana","","Moths","Lepidoptera","1100902","ilAcrRepa1.1","GCA_963576875.1","620432220","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Acrobasis suavella","","Moths","Lepidoptera","1857951","ilAcrSuav1.1","GCA_943193695.1","647267125","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Acrobasis suavella","","Moths (alternate haplotype)","Lepidoptera","1857951","ilAcrSuav1.1_alternate_haplotype","GCA_943193685.1","514085146","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Acrocera orbiculus","","Flies","Diptera","210248","idAcrOrbc1.1","GCA_947359355.1","221013885","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Acromyrmex echinatior","","Panamanian leaf-cutter ant","Hymenoptera","103372","Aech_3.9","GCA_000204515.1","295944863","NCBI","Import","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Acronicta aceris","","Moths","Lepidoptera","987859","ilAcrAcer1.1","GCA_910591435.1","466369003","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Acronicta aceris","","Moths (alternate haplotype)","Lepidoptera","987859","ilAcrAcer1.2_alternate_haplotype","GCA_910591495.2","403587884","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Acronicta leporina","","Moths","Lepidoptera","987862","ilAcrLepo1.1","GCA_947256265.1","465575723","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Acronicta psi","","Moths","Lepidoptera","987865","ilAcrPsix1.1","GCA_946251955.1","404684940","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Acronicta psi","","Moths (alternate haplotype)","Lepidoptera","987865","ilAcrPsix1.1_alternate_haplotype","GCA_946251945.1","402064912","Ensembl","Ensembl Genebuild","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Acropora acuminata","","Stony corals","Metazoa","367763","Aacu_1.0","GCA_014633975.1","394735330","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
"Acropora cytherea","","Stony corals","Metazoa","46686","Acyt_1.0","GCA_014634045.1","426326548","Ensembl","BRAKER2","FASTA/GTF/GFF3/TSV","FASTA","TSV",""
